board_id,bucket,box_count,source_file,board_hash,source_verified_test_split,eval_fold
87,71-90,7,81_to_90.sok,d9e041ddbc01,True,2
88,71-90,7,71_to_80.sok,526e4ef9a45f,True,2
89,71-90,6,71_to_80.sok,9beaa1d16782,True,2
90,91-100,7,91_to_100.sok,6812c33b95db,True,2
91,91-100,7,91_to_100.sok,1584d20559e6,True,2
92,91-100,7,91_to_100.sok,442e7aa85864,True,2
93,91-100,6,91_to_100.sok,cf1b774b3795,True,2
94,91-100,6,91_to_100.sok,29f6275fac47,True,2
95,91-100,7,91_to_100.sok,375e55028b94,True,2
96,91-100,7,91_to_100.sok,8fdc95389e5c,True,2
97,91-100,7,91_to_100.sok,c3f5d0669575,True,2
98,91-100,7,91_to_100.sok,d2dc07d9dabd,True,2
99,91-100,7,91_to_100.sok,cf66b0c670f6,True,2
100,91-100,7,91_to_100.sok,a01ad493be27,True,2
101,91-100,7,91_to_100.sok,63c9ba1a55ad,True,2
102,91-100,7,91_to_100.sok,0307420cf9c7,True,2
103,91-100,6,91_to_100.sok,17f76d7019d4,True,2
104,91-100,7,91_to_100.sok,ef6aa4d7c0b3,True,2
105,101+,6,101_plus.sok,25d4d685f537,True,2
106,101+,7,101_plus.sok,1ad5e3caffdc,True,2
107,101+,7,101_plus.sok,eda9ab2c03a9,True,2
108,101+,7,101_plus.sok,b0565ac228c3,True,2
109,101+,7,101_plus.sok,91778d0fc58a,True,2
110,101+,7,101_plus.sok,3d16f731b3bf,True,2
111,101+,7,101_plus.sok,27fd1fb0a0c3,True,2
112,101+,7,101_plus.sok,21b038ebbc30,True,2
113,101+,7,101_plus.sok,495e684adf7a,True,2
114,101+,7,101_plus.sok,a24be39494aa,True,2
115,101+,7,101_plus.sok,a58e8bc10885,True,2
116,101+,7,101_plus.sok,9803d1029fa9,True,2
117,101+,7,101_plus.sok,762a2b826bf7,True,2
118,101+,7,101_plus.sok,1d7f15825415,True,2
119,101+,7,101_plus.sok,1e72780b688d,True,2
