board_string,width,height,boxes,is_solvable,dataset_type,shell_hash
"########
# .    #
# $. $@#
#  $####
##$ # ##
##.    #
##. # ##
########",8,8,4,1,"positive",6640776946411693530
"########
#      #
# $..$@#
#  $####
##$ # ##
##.    #
##. # ##
########",8,8,4,1,"positive",6640776946411693530
"########
#      #
# #$.# #
#.$ $  #
# $#$. #
# $#.  #
#.$#####
# @    #
###### #
#   ## #
###   .#
## $.###
#  . ###
########",8,14,8,0,"easy_negative",17423871053832726205
"###########
#### # @###
# #  #  ###
#    # $  #
# #  $ $ .#
######   ##
# # ## ####
#      .  #
##.  $.   #
####   ####
###########",11,11,4,0,"easy_negative",12057534178692756595
"########
#. . .##
#  $ .##
####$$##
#    . #
###$$###
###@ ###
########",8,8,5,0,"easy_negative",15068994625167423587
"###########
#    ##   #
#.#$$ #   #
# $  $ . .#
# ##.@#$###
#  ## # .##
#   #######
###########",11,8,5,0,"easy_negative",909747415668674009
"###########
## ##     #
#   # $## #
## ## @## #
#     $####
# # .#  $ #
#. $$    .#
###.    ###
###  #   ##
#    .    #
###########",11,11,5,1,"positive",8995721452903983674
"###########
## .      #
##.$ ##  .#
##@$$##   #
## #$# ## #
####$# #  #
#.   #    #
# ##  # $##
#  #. #  ##
### . #  ##
#   ## # ##
##  ##    #
###    # ##
###########",11,14,6,0,"easy_negative",10275538571853017832
"###########
## ##     #
#   # $## #
## ## @## #
# .   $####
# # .#  $ #
#. $$     #
###.    ###
###  #   ##
#    .    #
###########",11,11,5,1,"positive",8995721452903983674
"###########
##### #   #
#     $   #
# . # #####
## ## #   #
#    .    #
## ## #   #
# $$ @### #
###.$ ### #
###.  #   #
###########",11,11,4,0,"easy_negative",11302335673317003392
"###########
#.     #  #
##  ## #  #
###.## #  #
##    $  ##
##   ##  ##
##   ##$$##
#######.  #
# . $   # #
#     @   #
###########",11,11,4,1,"positive",14306895443953403388
"###########
#.     #  #
##  ## #  #
### ## #  #
##    $  ##
##   ##  ##
##   ##$$##
#######.  #
# . $   # #
# .   @   #
###########",11,11,4,1,"positive",14306895443953403388
"###########
#      #  #
##  ## #  #
### ## #  #
##    $  ##
##  .##  ##
##   ##$$##
#######.  #
# . $   # #
# .   @   #
###########",11,11,4,1,"positive",14306895443953403388
"###########
#      #  #
##  ## #  #
### ## #  #
##       ##
##  .##  ##
##   ##$$##
#######.  #
# .$$   # #
# .   @   #
###########",11,11,4,0,"hard_negative",14306895443953403388
"###########
#      #  #
##  ## #  #
### ## #  #
##   $$  ##
##  .##  ##
##   ##$$##
#######.  #
# .     # #
# .   @   #
###########",11,11,4,0,"hard_negative",14306895443953403388
"##############
##########  .#
##  #  # # # #
### ## #   $ #
# $    $ # $ #
# #$#### # # #
#      ###$  #
###..   ##   #
### ###  #   #
#      #######
#  @ ##.  #.##
#### ## #    #
# .       # ##
##############",14,14,6,0,"easy_negative",7971748227931785290
"###########
#      #  #
##  ## #  #
### ##$#  #
##    $  ##
##  .##  ##
##   ##$ ##
#######.  #
# . $   # #
# .   @   #
###########",11,11,4,1,"positive",14306895443953403388
"##############
###### ##    #
# # ## ##$ .##
#.    $    ###
###### ###   #
## ### # ##  #
#  #   #$ ## #
# $$    $ ## #
# .    # .## #
# . #####@  .#
##############",14,11,6,0,"easy_negative",7907559228139605051
"###########
#      #  #
##  ## #  #
###.##$#  #
##    $  ##
##  .##  ##
##   ##$ ##
#######.  #
# . $   # #
#     @   #
###########",11,11,4,1,"positive",14306895443953403388
"##############
# #    .     #
# #     #  # #
# #@###  $$  #
# ## ##    ###
#  #. #### ###
#     $.   $ #
#  # #     $.#
#  # #  ###  #
#. # #  #### #
##############",14,11,5,0,"easy_negative",14099166204058868308
"###########
#####  .  #
# # #@ ####
# $ # . ..#
##. $$$# ##
## #    . #
####   # ##
# ## ######
# # $##  ##
# ## $  . #
#  $$#### #
#   .#### #
####      #
###########",11,14,8,0,"easy_negative",7743500956633787733
"########
#   ## #
### ## #
### $..#
#  .#$ #
# ###@ #
# #### #
#      #
###$$ ##
###.####
########",8,11,4,0,"easy_negative",7178642953889573948
"###########
## ##     #
#   # $## #
## ## @## #
# .   $####
# # .#  $ #
#.  $     #
###.    ###
###$ #   ##
#    .    #
###########",11,11,5,1,"positive",8995721452903983674
"########
### ####
###$ # #
# $$   #
###$  ##
###  ###
#  .@ ##
#.  .$ #
#.#    #
#   ####
## #   #
#  . # #
## #   #
########",8,14,5,0,"easy_negative",18400221499574204741
"###########
## ## @   #
#   # $## #
## ##  ## #
# .   $####
# # .#  $ #
#.  $     #
###.    ###
###$ #   ##
#    .    #
###########",11,11,5,1,"positive",8995721452903983674
"##############
#  .   ##  ###
###$.###  $ ##
###. ## @   .#
###     ### ##
#  #### ######
# ##  $ $ $  #
#        #  ##
# ## #   #$ ##
# ##    ##.###
### # #  # ###
### ###  # ###
#  .     #   #
##############",14,14,6,0,"easy_negative",1720277573996885683
"###########
## ## @   #
#   # $## #
## ##  ## #
#     $####
# # .#  $ #
#.  $     #
###.    ###
###$.#   ##
#    .    #
###########",11,11,5,1,"positive",8995721452903983674
"###########
#.. .     #
#######   #
#  $. $   #
## ###### #
# . #   #.#
## #  $## #
#   .  # ##
# ## # $@ #
# ##   # ##
#  # $ $  #
## # # $###
####    ###
###########",11,14,7,0,"easy_negative",14080748815156691492
"###########
#   #######
# # #  # ##
#   $  #  #
### .     #
##   # ####
## $      #
### # #   #
### #######
#  $      #
# @. $ # ##
#  #..    #
# ###### ##
###########",11,14,4,1,"positive",1523700607004293592
"##############
# .   # ######
#### $#  # # #
# $  $#@     #
# # . $ $$ # #
####  #### # #
# #  ##   .# #
#      #     #
# ##  ## . #.#
# ## #### ####
# ##     .####
#.####$ #    #
#   ##       #
##############",14,14,7,0,"easy_negative",3775772268501705239
"###########
#   #######
# # #  # ##
#   $  #  #
### .     #
##   # ####
## $      #
### # #   #
### #######
#  $@     #
#  . $ # ##
#  #..    #
# ###### ##
###########",11,14,4,1,"positive",1523700607004293592
"###########
#   #######
# # #  # ##
#   $  #  #
### .     #
##   # ####
##        #
### # #   #
### #######
#  $@     #
#  . $ #$##
#  #..    #
# ###### ##
###########",11,14,4,0,"hard_negative",1523700607004293592
"###########
#   #######
# # #  # ##
#@  $  #  #
### .     #
##   # ####
## $      #
### # #   #
### #######
#  $      #
#  . $ # ##
#  #..    #
# ###### ##
###########",11,14,4,1,"positive",1523700607004293592
"###########
##  ##    #
##  #.    #
###.$  ####
#.##  $####
# ####    #
#   ##  $ #
# #  ## ###
# #   #$###
#.#.##.   #
# # ###$$ #
# #  #  # #
# #    @  #
###########",11,14,6,0,"easy_negative",8189796541388742333
"###########
#   #######
# # #  # ##
#@  $  #  #
### .     #
## . # ####
## $      #
### # #   #
### #######
#  $      #
#    $ # ##
#  #..    #
# ###### ##
###########",11,14,4,1,"positive",1523700607004293592
"###########
#   #######
# # #  # ##
#@  $  #  #
### .$    #
## . # ####
##        #
### # #   #
### #######
#  $      #
#    $ # ##
#  #..    #
# ###### ##
###########",11,14,4,1,"positive",1523700607004293592
"########
######.#
##  ##@#
#. $ $ #
### $$ #
##.$.#.#
####   #
########",8,8,5,0,"easy_negative",1920901862237034843
"##############
# ###   . ####
#  ## @#     #
#  ##  ##    #
#.    .    # #
#.  #  ##  # #
###### ##  #.#
# ## $    $  #
# ## #$$   $ #
#      ###   #
##############",14,11,5,0,"easy_negative",17910983170760558039
"##############
####    ##   #
# #   # #  ###
#    ## ## ###
# # #   ##  ##
##### #  #  ##
# #  ##$$  ###
#    ##  #  ##
###  .# .# $##
### $ #@ #.$##
#  .#  $.## ##
###.#   ##   #
### #    ## ##
##############",14,14,6,0,"easy_negative",4972245992095225619
"###########
##@    #. #
###$$#$#  #
##     #  #
#.. $$  .##
#    #.$.##
####     ##
###########",11,8,6,1,"positive",2984334425353426428
"###########
##     #. #
###$$#$#  #
##     # @#
#.. $$  .##
#    #.$.##
####     ##
###########",11,8,6,0,"hard_negative",2984334425353426428
"###########
##     #. #
###$$#$#  #
##   @ #  #
#.. $$  .##
#    #.$.##
####     ##
###########",11,8,6,0,"hard_negative",2984334425353426428
"###########
##.## # ###
#.  .  $###
## ##$#$  #
##  #$ .###
## ## $$.##
##### . @ #
###########",11,8,6,0,"easy_negative",11434463618174639842
"###########
##@    #. #
###$$#$#  #
##  $  #  #
#..  $  .##
#    #.$.##
####     ##
###########",11,8,6,1,"positive",2984334425353426428
"##############
####      #.##
#  @ #  #    #
#   ### $ #.##
##$## ### $  #
#    $$ #    #
##.##$### ####
#  # $.###   #
#  # . $ #. .#
#  #      .  #
##############",14,11,8,0,"easy_negative",3694525487307138283
"###########
##@    #. #
###$$# #  #
##  $  #  #
#..  $$ .##
#    #.$.##
####     ##
###########",11,8,6,1,"positive",2984334425353426428
"###########
##@    #. #
###$ # #  #
##  $ $#  #
#..  $$ .##
#    #.$.##
####     ##
###########",11,8,6,0,"hard_negative",2984334425353426428
"##############
#            #
#  $ #  #    #
####    $ ####
#   # ##.$   #
#      #$ ## #
##### ##  ## #
#   @  ##  . #
#.#  # #  ####
# .       # ##
####         #
# #  ## #   ##
#    #########
##############",14,14,4,0,"easy_negative",10759632169259593512
"###########
##@    #. #
###$$# #  #
##  $  #  #
#.. $ $ .##
#    #.$.##
####     ##
###########",11,8,6,1,"positive",2984334425353426428
"###########
##@    #. #
###$$# #  #
##  $  #  #
#.. $ $ .##
#    # $.##
####.    ##
###########",11,8,6,1,"positive",2984334425353426428
"##############
#    ### ## ##
##    #     .#
###  . #.## ##
#. $#  ##    #
# #.#$$ #  ###
# $$#  ##  ###
#  $## ### $ #
## .## #   #@#
###    .     #
##############",14,11,7,0,"easy_negative",7942738676324638125
"########
###### #
#  @ # #
# . ## #
#.# $$ #
####$#.#
#.# $$.#
# $.#$.#
#  .#$ #
#####  #
########",8,11,8,0,"easy_negative",1065842282957263937
"###########
#   # # . #
# #   $   #
# @.#$#   #
#       # #
##   #  # #
###    $# #
###. $.$  #
### .#### #
#    #### #
###########",11,11,5,1,"positive",12361189184808510041
"##############
# ##  .# ##  #
#  # #@$$ #$ #
#  #  .#.##$ #
##  #$#.## $ #
### .$$ ## # #
## .#.#   .  #
##############",14,8,8,0,"easy_negative",11120839975196730616
"###########
#   # # . #
# #   $   #
# @.#$#   #
#       # #
##   #  # #
###   $$# #
###.  .$  #
### .#### #
#    #### #
###########",11,11,5,1,"positive",12361189184808510041
"##############
#     #   ## #
#     #  .## #
####  #    . #
#@   # $ # ###
###  #  ##  ##
### .#.$ #####
#    #       #
#.# ######   #
#    #    $  #
# ##      #$##
# ## # ##  $ #
#      ## # ##
##############",14,14,5,0,"easy_negative",7889752629551316529
"###########
#   # # . #
# #   $   #
# @.#$#   #
#  .    # #
##   #  # #
###   $$# #
###   .$  #
### .#### #
#    #### #
###########",11,11,5,1,"positive",12361189184808510041
"##############
#    # .    .#
##  $# $##   #
#### #  ##   #
###.   $  # ##
## @  # .#   #
##   ## ### ##
## ###   .####
# $ # $#### ##
## #      #  #
#   ## ## ## #
# # #  ## #  #
#            #
##############",14,14,5,0,"easy_negative",6855436442463924702
"###########
#   # # . #
# #   $   #
#  .#$# @ #
#  .    # #
##   #  # #
###   $$# #
###   .$  #
### .#### #
#    #### #
###########",11,11,5,1,"positive",12361189184808510041
"###########
#   # # . #
# #   $   #
#  .#$# @ #
#  .    # #
## $ #  # #
###   $$# #
###   .   #
### .#### #
#    #### #
###########",11,11,5,1,"positive",12361189184808510041
"########
#   @  #
## ..# #
### .$ #
#### ###
##.$$ ##
### .$ #
#. $# ##
# $ $$ #
#. .# ##
########",8,11,8,0,"easy_negative",15692113274090780935
"########
#####.##
#  # $.#
# $ # ##
#  .   #
# ##$ ##
# ##$###
#  #   #
#.$## .#
# $#####
#   ##@#
#.$ ## #
#   .  #
########",8,14,7,0,"easy_negative",13051055847013465138
"########
##     #
##$@ # #
##.$####
#    .##
#  $  ##
#### .##
########",8,8,3,1,"positive",7174954752462976168
"########
##   @ #
##$  # #
##.$####
#    .##
#  $  ##
#### .##
########",8,8,3,1,"positive",7174954752462976168
"########
##    @#
##$  # #
##.$####
#    .##
#  $  ##
#### .##
########",8,8,3,1,"positive",7174954752462976168
"########
##    @#
##$  # #
##. ####
#   $.##
#  $  ##
#### .##
########",8,8,3,0,"hard_negative",7174954752462976168
"########
##    @#
##$  # #
##. ####
#   $.##
#  $  ##
#### .##
########",8,8,3,0,"hard_negative",7174954752462976168
"########
##     #
##$  # #
##.$####
#    .##
#  $  ##
#### +##
########",8,8,3,0,"hard_negative",7174954752462976168
"########
##    @#
##$  # #
##.$####
#     ##
#  *  ##
#### .##
########",8,8,3,1,"positive",7174954752462976168
"########
##     #
##$  #@#
##.$####
#     ##
#  *  ##
#### .##
########",8,8,3,1,"positive",7174954752462976168
"########
####.. #
# $$$$ #
# $ $$.#
# $@##.#
#..###.#
#.##   #
########",8,8,8,0,"easy_negative",16795524620693468397
"##############
## ##  #  ####
#.@ #  #   # #
## ##  ##  $.#
#   .  ###   #
### .#$   $# #
### $$$  $.  #
###  #### .$ #
##  .###  ####
####   #.    #
##############",14,11,8,0,"easy_negative",5619751691584139709
"########
# ##   #
# ## ###
#   $###
# #  $.#
####$. #
# # .  #
#.$ ####
# #  # #
####@  #
########",8,11,4,0,"easy_negative",11946446916317674046
"##############
# ########   #
# ##  #  # ###
#.  .##.   ###
## #$## ######
#### ##$##   #
#         $  #
###$#######  #
##    ## ##  #
##@ .    ##  #
##############",14,11,4,0,"easy_negative",1494027702346749639
"###########
#  .  @####
#####.   ##
#   ###$  #
#   .$  ###
### # $$ ##
###.## .$##
####  $$..#
# #  # ####
#         #
###########",11,11,7,0,"easy_negative",18089954687832710204
"###########
#    . #  #
### .###  #
### $#### #
#.$       #
# #  @$$  #
#### . ####
###########",11,8,4,1,"positive",2853485731722740781
"###########
#    . #  #
###  ###  #
### $#### #
#.$  .    #
# #  @$$  #
#### . ####
###########",11,8,4,1,"positive",2853485731722740781
"###########
#   .. #  #
###  ###  #
### $#### #
#.$       #
# #  @$$  #
#### . ####
###########",11,8,4,1,"positive",2853485731722740781
"###########
#   .. #  #
###  ###  #
### $#### #
#.$ @     #
# #   $$  #
#### . ####
###########",11,8,4,1,"positive",2853485731722740781
"###########
# @ .. #  #
###  ###  #
### $#### #
#.$       #
# #   $$  #
#### . ####
###########",11,8,4,1,"positive",2853485731722740781
"########
# .    #
#.#$  @#
# ..####
#.$$   #
###$ #.#
###  $ #
## $## #
## $# .#
##  ####
########",8,11,7,0,"easy_negative",15964825559522014822
"########
# #  . #
# #@####
# #$#.##
# $ $$ #
# #  # #
# $..$ #
#.#.##.#
# #$#  #
# # ####
########",8,11,7,0,"easy_negative",16363122581903154247
"##############
###.# #   .  #
## $$$$ # #  #
#@  # # ..## #
# ########   #
#  #   #.$$ ##
#  #     . ###
##############",14,8,6,0,"easy_negative",8284226085888723395
"###########
#  .      #
####. # # #
#   ### $.#
# ##    $ #
# #### #  #
# $ ## ## #
#   ###   #
# ###@ ## #
# ##.  ## #
#   # #   #
###  $. $ #
### # #   #
###########",11,14,5,0,"easy_negative",5342299025149130246
"###########
#     .####
#### #$#.##
#. $ . $$##
# @   # $.#
# # $##$  #
#     #.. #
###########",11,8,7,0,"easy_negative",77553529620260200
"##############
#### #########
#     #  # # #
#    $$   $ .#
## ##    ## ##
#   # $# #   #
##@##  #### ##
###.  . ##  ##
##  #   .#  ##
###### ### ###
##############",14,11,4,1,"positive",7950216918887043039
"##############
#### #########
#     #  # # #
#    $    $ .#
## ##    ## ##
#   # $# #   #
##@##  #### ##
###.  . ##  ##
##  #  $.#  ##
###### ### ###
##############",14,11,4,1,"positive",7950216918887043039
"##############
#### #########
#     #  # # #
#    $    $ .#
## ##    ## ##
#   #  # #   #
##@##  ####$##
###.  . ##  ##
##  #  $.#  ##
###### ### ###
##############",14,11,4,0,"hard_negative",7950216918887043039
"##############
#### #########
#     #  # # #
#    $      .#
## ##    ## ##
#   # $# # $ #
##@##  #### ##
###.  . ##  ##
##  #  $.#  ##
###### ### ###
##############",14,11,4,0,"hard_negative",7950216918887043039
"##############
#### #########
#     #  # # #
#    $    $ .#
## ##    ##@##
#   # $# #   #
## ##  #### ##
###.  . ##  ##
##  #  $.#  ##
###### ### ###
##############",14,11,4,1,"positive",7950216918887043039
"##############
#### #########
#     #  # # #
#   @$    $ .#
## ##    ## ##
#   # $# #   #
## ##  #### ##
###.  . ##  ##
##  #  $.#  ##
###### ### ###
##############",14,11,4,1,"positive",7950216918887043039
"##############
#  .# ## #####
#  #    $ # ##
# ### ## #@ ##
#   ..####$. #
# #.# # $$ ###
#   ##     ###
# $     ## ###
###  ## ## ###
###  ##      #
##############",14,11,5,0,"easy_negative",1064697725035562959
"##############
#### #########
#     #  # # #
#   @$    $ .#
## ##    ## ##
#   #$$# #   #
## ##  #### ##
###.  . ##  ##
##  #   .#  ##
###### ### ###
##############",14,11,4,1,"positive",7950216918887043039
"##############
# #  #  ###  #
#.# ###  ##@ #
# #  #    #  #
#       ###  #
#.  #  # ##  #
#  $####  #$ #
###    ##$$ .#
##   # ##  ###
####.      ###
##############",14,11,4,0,"easy_negative",1362221011591713049
"###########
##### #   #
# # $ $   #
#  $#.#.  #
##   #  # #
###@ # $# #
##  .#. # #
###########",11,8,4,0,"easy_negative",8738655289398299766
"##############
## .###  #  .#
##  #  .## # #
##   $$  #   #
#         @$.#
#    # ##$ # #
######### ####
##############",14,8,4,0,"easy_negative",6891638688780806034
"##############
###### # ###.#
##. # $ $ ## #
#   $@$#.# $.#
##$###$### # #
# . ##. #  # #
## #.      # #
##############",14,8,7,0,"easy_negative",14425385530896073622
"###########
##        #
## . ## @ #
##  .##   #
##  ##  # #
##  #  $# #
### #   # #
#.   .$$  #
# $  #    #
#   ###   #
###########",11,11,4,1,"positive",17196862053739769369
"########
#  #   #
#  #$###
# ## ###
#  $$@ #
#  #$#.#
####.  #
#.  ##.#
#.#### #
# ##   #
# $$   #
###   ##
###. ###
########",8,14,6,0,"easy_negative",14540262890084762314
"###########
##        #
## . ##   #
##  .##   #
##  ##  #@#
##  #  $# #
### #   # #
#.   .$$  #
# $  #    #
#   ###   #
###########",11,11,4,1,"positive",17196862053739769369
"##############
#       . .  #
# $  # ### ###
#   ###    ###
# ##  ## #$###
#. #  #### ###
# $$  #.  .  #
###$ #   @   #
###$###  ### #
#  . #  #### #
##############",14,11,6,0,"easy_negative",6186397792905416752
"###########
##        #
## . ##$  #
##  .##   #
##  ##  #@#
##  #  $# #
### #   # #
#.   .$   #
# $  #    #
#   ###   #
###########",11,11,4,1,"positive",17196862053739769369
"###########
#.#  ### ##
# # $ # $ #
# #. @ # ##
#  $###  ##
## $$ # .##
### $$   ##
####  # .##
#     # ###
# . ..#  ##
###########",11,11,7,0,"easy_negative",8764113180467306521
"###########
##        #
## . ##$  #
##  .##   #
##  ##  #@#
##  #  $# #
### #$  # #
#.   .    #
# $  #    #
#   ###   #
###########",11,11,4,1,"positive",17196862053739769369
"##############
# .  @ # #  .#
# ## $.$$. # #
# ##   # #   #
### # #  #####
##  $   $#   #
##  # #$ #   #
## ###  .  # #
#.  # $ #  # #
## #    .  # #
##############",14,11,7,0,"easy_negative",16267367995445061581
"###########
##        #
## . ##$  #
##  .##   #
##  ##  # #
##  #  $# #
### #$  # #
#.   .    #
# $  #    #
#@  ###   #
###########",11,11,4,1,"positive",17196862053739769369
"########
#  # ###
#.##. ##
#. #$  #
# $$.###
# # $###
####   #
## $.###
## # ###
#### $ #
#.   $ #
#@ # # #
####.  #
########",8,14,7,0,"easy_negative",16720490927467193582
"##############
###          #
## .$#.  # # #
#       ##  .#
#@  ##    $ ##
# ####   $ $##
# ##   ###$.##
#  #  . #   ##
#  # # ###  ##
# ##    #   ##
##############",14,11,5,1,"positive",1131595969239476310
"##############
##  ###      #
###       ####
## $      .  #
# ## #  ## # #
#  #### ## # #
#  # # @   # #
#     # #.. ##
# #  ## # $###
#  $  # #.  ##
##$ #    $.  #
##$$# #   ## #
##  .##.  ## #
##############",14,14,7,0,"easy_negative",4118056341207836291
"##############
###          #
## .$#.  # # #
#       ##  .#
#   ##    $ ##
# ####   $ $##
# ##   ###$.##
#  #  + #   ##
#  # # ###  ##
# ##    #   ##
##############",14,11,5,1,"positive",1131595969239476310
"########
#    ###
# #$ ###
# .$   #
# $ #$##
# # .  #
# @ # ##
#    ###
#### ###
#.    .#
########",8,11,4,0,"easy_negative",5025475014509530202
"##############
###          #
## .$#.  # # #
#       ##  .#
#   ##    $ ##
# ####   $ $##
# ## @ ###$.##
#  #  . #   ##
#  # # ###  ##
# ##    #   ##
##############",14,11,5,1,"positive",1131595969239476310
"##############
## #     .####
#   ### ## # #
## #.   ##   #
##.#  #    $ #
#  .$ #$  ## #
## # ##   ## #
##  #  ### # #
### #     $# #
## .#  $$  # #
#   ## # #   #
# @.# #      #
#     ## #   #
##############",14,14,6,0,"easy_negative",6089866498393353812
"##############
###          #
## .$#.  # # #
#       ##  .#
#   ##    $ ##
# ####   $ $##
# ##   ###$.##
#  #  . #   ##
#  # # ###  ##
# ##  @ #   ##
##############",14,11,5,1,"positive",1131595969239476310
"##############
#.       #####
# $ #    #   #
#   ##   # $@#
## $##  # $  #
##  #. $#  ###
##   ## #  ###
## # .    # ##
#    #  #  . #
## #   .  # ##
##############",14,11,5,0,"easy_negative",14778263297221707518
"##############
###          #
## .$#.  # # #
#       ##  .#
#   ##   $$ ##
# ####     $##
# ##   ###$.##
#  #  . #   ##
#  # # ###  ##
# ##  @ #   ##
##############",14,11,5,1,"positive",1131595969239476310
"##############
###### # #. ##
##  ##   $..##
### $  #.# $##
# .  $ $ # @ #
# ##$#$ ##   #
# ##..   #   #
##############",14,8,7,0,"easy_negative",17008217338366517139
"###########
### ##.  .#
## .##. # #
#    $$$  #
# .   $ . #
# #$$# ####
#    @    #
###########",11,8,6,1,"positive",498705609566559173
"###########
### ##.   #
## .##. # #
#    $$$  #
# .   $.. #
# #$$# ####
#    @    #
###########",11,8,6,1,"positive",498705609566559173
"###########
### ##.   #
## .##. # #
#    $$   #
# .  $$.. #
# #$$# ####
#    @    #
###########",11,8,6,0,"hard_negative",498705609566559173
"###########
### ##.   #
## .##  # #
#    $$$  #
#..   $.. #
# #$$# ####
#    @    #
###########",11,8,6,1,"positive",498705609566559173
"##############
#  # ##.##  ##
#  #  # ##  ##
#  #$ # $$  ##
##      ###  #
## .##   ## .#
### ##   ##  #
####    ######
#  $$@   #  ##
#  .### .    #
##############",14,11,5,0,"easy_negative",12630328217860737504
"###########
### ##.   #
## .##  # #
#    $$$  #
#..   $.  #
# #$$# ####
#  . @    #
###########",11,8,6,1,"positive",498705609566559173
"##############
#   #   #  . #
#   #   #  ###
#   ##$$#  ###
### #     $# #
##  # # #  # #
#.  ###### # #
#  #        @#
#  #### # ##.#
#  # $   .## #
#   ##      ##
#   #  ##  ###
#      ##   ##
##############",14,14,4,0,"easy_negative",13835604907590206718
