LevelName	Status	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealAvg	PathBranchingEffectiveAvg
25 - Marko Dzekic - 13 [likes=4, dislikes=0, completion=0.935344827586207, like_ratio=1.0, like_rate=0.0172413793103448, tedium=3.33333333333333]	SOLVED	8.40189	6	11	14	16	192	62	18	28	12	3.875	1.5874	10.6667	0	0	0	0.0	0.0
7 - Marko Dzekic - 14 [likes=3, dislikes=0, completion=0.930747922437673, like_ratio=1.0, like_rate=0.0083102493074792, tedium=5.0]	SOLVED	8.58639	7	21	12	12	144	44	7	31	12	3.66667	1.42616	20.5714	0	0	0	0.0	0.0
49 - Marko Dzekic - 15 [likes=3, dislikes=0, completion=0.80564263322884, like_ratio=1.0, like_rate=0.0094043887147335, tedium=7.5]	SOLVED	9.22272	9	36	18	23	368	81	11	22	16	3.52174	1.41678	33.4545	0	0	0	0.0	0.0
12 - Marko Dzekic - 16 [likes=3, dislikes=0, completion=0.895454545454546, like_ratio=1.0, like_rate=0.0136363636363636, tedium=5.0]	SOLVED	8.26844	11	31	18	22	440	45	7	27	20	2.04545	1.32446	62.8571	0	0	0	0.0	0.0
204 - Marko Dzekic - 17 [likes=2, dislikes=0, completion=0.874458874458874, like_ratio=1.0, like_rate=0.0086580086580086, tedium=3.75]	SOLVED	9.367	6	15	12	14	224	40	0	13	16	2.85714	1.55246	0	0	0	0	0.0	0.0
39 - Marko Dzekic - 18 [likes=4, dislikes=0, completion=0.581081081081081, like_ratio=1.0, like_rate=0.018018018018018, tedium=9.5]	SOLVED	8.43304	8	42	25	31	496	81	25	56	16	2.6129	1.5361	19.84	0	0	0	0.0	0.0
15 - Marko Dzekic - 19 [likes=4, dislikes=0, completion=0.862068965517241, like_ratio=1.0, like_rate=0.0172413793103448, tedium=3.25]	SOLVED	8.34028	6	19	21	25	400	80	11	39	16	3.2	1.70998	36.3636	0	0	0	0.0	0.0
22 - Marko Dzekic - 20 [likes=4, dislikes=0, completion=0.801169590643275, like_ratio=1.0, like_rate=0.0116959064327485, tedium=6.33333333333333]	SOLVED	8.75336	7	25	15	15	180	54	12	44	12	3.6	1.47236	15	0	0	0	0.0	0.0
20 - Marko Dzekic - 21 [likes=4, dislikes=0, completion=0.869369369369369, like_ratio=1.0, like_rate=0.018018018018018, tedium=5.33333333333333]	SOLVED	8.4225	6	26	9	9	108	44	5	13	12	4.88889	1.44225	21.6	0	0	0	0.0	0.0
2 - Marko Dzekic - 22 [likes=4, dislikes=1, completion=0.869888475836431, like_ratio=0.8, like_rate=0.0148698884758364, tedium=6.0]	SOLVED	8.55792	10	26	27	39	624	132	17	43	16	3.38462	1.44247	36.7059	0	0	0	0.0	0.0
27 - Marko Dzekic - 23 [likes=3, dislikes=0, completion=0.941391941391941, like_ratio=1.0, like_rate=0.010989010989011, tedium=4.66666666666667]	SOLVED	8.71645	7	32	16	17	204	74	11	23	12	4.35294	1.49892	18.5455	0	0	0	0.0	0.0
10 - Marko Dzekic - 24 [likes=4, dislikes=0, completion=0.888235294117647, like_ratio=1.0, like_rate=0.0117647058823529, tedium=3.75]	SOLVED	8.82646	6	23	10	10	160	47	6	9	16	4.7	1.4678	26.6667	0	0	0	0.0	0.0
1 - Thinking Rabbit - 25 [likes=5, dislikes=0, completion=0.891089108910891, like_ratio=1.0, like_rate=0.0247524752475248, tedium=15.25]	SOLVED	14.5016	32	148	418	572	9152	2265	790	203	16	3.95979	1.21946	11.5848	0	0	0	0.0	0.0
5 - Thinking Rabbit - 26 [likes=6, dislikes=0, completion=0.826923076923077, like_ratio=1.0, like_rate=0.0288461538461538, tedium=5.75]	SOLVED	9.28822	8	41	50	60	960	346	54	167	16	5.76667	1.66828	17.7778	0	0	0	0.0	0.0
4 - Thinking Rabbit - 27 [likes=10, dislikes=0, completion=0.5260663507109, like_ratio=1.0, like_rate=0.04739336492891, tedium=12.5]	SOLVED	12.4339	17	52	350	629	10064	1046	772	1166	16	1.66296	1.46092	13.0363	0	0	0	0.0	0.0
No. 01-01 - Thinking Rabbit - 28 [likes=4, dislikes=1, completion=0.592105263157895, like_ratio=0.8, like_rate=0.0087719298245614, tedium=23.3333333333333]	SOLVED	10.2344	27	94	260	315	3780	420	109	241	12	1.33333	1.23746	34.6789	0	0	0	0.0	0.0
No. 02-01 - Thinking Rabbit - 29 [likes=2, dislikes=0, completion=0.552380952380952, like_ratio=1.0, like_rate=0.0095238095238095, tedium=16.0]	SOLVED	13.4937	15	90	310	432	8640	1215	511	1037	20	2.8125	1.49865	16.908	0	0	0	0.0	0.0
No. 01-02 - Thinking Rabbit - 30 [likes=4, dislikes=0, completion=0.436170212765957, like_ratio=1.0, like_rate=0.0106382978723404, tedium=13.5]	SOLVED	13.2503	13	54	376	674	10784	1085	904	1229	16	1.60979	1.6504	11.9292	0	0	0	0.0	0.0
No. 01-03 - Thinking Rabbit - 31 [likes=2, dislikes=0, completion=0.565989847715736, like_ratio=1.0, like_rate=0.0050761421319797, tedium=6.6]	SOLVED	13.4404	11	47	286	344	6880	2152	484	803	20	6.25581	1.70058	14.2149	0	0	0	0.0	0.0
No. 02-10 - Thinking Rabbit - 32 [likes=8, dislikes=1, completion=0.411467116357504, like_ratio=0.888888888888889, like_rate=0.0134907251264755, tedium=9.16666666666667]	SOLVED	15.6889	16	59	521	1031	24744	1318	1014	2070	24	1.27837	1.54287	24.4024	0	0	0	0.0	0.0
No. 01-01 - Thinking Rabbit - 33 [likes=10, dislikes=1, completion=0.258958145137007, like_ratio=0.909090909090909, like_rate=0.0030111412225233, tedium=29.6666666666667]	SOLVED	10.2006	32	107	128	154	1848	250	23	219	12	1.62338	1.17047	80.3478	0	0	0	0.0	0.0
No. 01-10 - Thinking Rabbit - 34 [likes=8, dislikes=1, completion=0.493975903614458, like_ratio=0.888888888888889, like_rate=0.0096385542168674, tedium=7.2]	SOLVED	10.4411	14	38	162	305	6100	487	244	632	20	1.59672	1.5047	25	0	0	0	0.0	0.0
No. 02-01 - Thinking Rabbit - 35 [likes=8, dislikes=1, completion=0.554830287206266, like_ratio=0.888888888888889, like_rate=0.010443864229765, tedium=14.25]	SOLVED	14.7363	19	71	357	716	11456	944	985	1122	16	1.31844	1.41338	11.6305	0	0	0	0.0	0.0
No. 01-07 - Thinking Rabbit - 36 [likes=8, dislikes=1, completion=0.538363171355499, like_ratio=0.888888888888889, like_rate=0.010230179028133, tedium=15.8]	SOLVED	10.8317	25	150	256	345	6900	754	280	410	20	2.18551	1.26332	24.6429	0	0	0	0.0	0.0
No. 01-08 - Thinking Rabbit - 37 [likes=8, dislikes=1, completion=0.576470588235294, like_ratio=0.888888888888889, like_rate=0.0104575163398693, tedium=8.8]	SOLVED	9.1534	17	51	88	98	1960	314	38	126	20	3.20408	1.30958	51.5789	0	0	0	0.0	0.0
No. 03-03 - Thinking Rabbit - 38 [likes=6, dislikes=1, completion=0.546082949308756, like_ratio=0.857142857142857, like_rate=0.0138248847926267, tedium=7.5]	SOLVED	18.7593	26	104	715	1124	35968	2426	1229	876	32	2.15836	1.3102	29.2661	0	0	0	0.0	0.0
No. 01-05 - Thinking Rabbit - 39 [likes=10, dislikes=1, completion=0.538968166849616, like_ratio=0.909090909090909, like_rate=0.0109769484083425, tedium=28.5]	SOLVED	9.96301	28	178	178	241	3856	502	161	363	16	2.08299	1.21639	23.9503	0	0	0	0.0	0.0
No. 02-03 - Thinking Rabbit - 40 [likes=5, dislikes=1, completion=0.519094766619519, like_ratio=0.833333333333333, like_rate=0.007072135785007, tedium=7.25]	SOLVED	9.25231	8	31	55	68	1088	176	54	163	16	2.58824	1.69459	20.1481	0	0	0	0.0	0.0
No. 01-02 - Thinking Rabbit - 41 [likes=5, dislikes=0, completion=0.449297971918877, like_ratio=1.0, like_rate=0.0039001560062402, tedium=14.75]	SOLVED	15.5657	33	188	413	574	9184	2320	921	485	16	4.04181	1.21228	9.97177	0	0	0	0.0	0.0
No. 02-09 - Thinking Rabbit - 42 [likes=8, dislikes=1, completion=0.49622641509434, like_ratio=0.888888888888889, like_rate=0.0150943396226415, tedium=16.0]	SOLVED	11.0297	18	82	205	363	5808	552	495	560	16	1.52066	1.38745	11.7333	0	0	0	0.0	0.0
No. 01-03 - Thinking Rabbit - 43 [likes=11, dislikes=1, completion=0.529554655870445, like_ratio=0.916666666666667, like_rate=0.0089068825910931, tedium=6.6]	SOLVED	8.62298	15	33	34	35	700	60	4	20	20	1.71429	1.26747	175	0	0	0	0.0	0.0
No. 02-05 - Thinking Rabbit - 44 [likes=6, dislikes=1, completion=0.49777117384844, like_ratio=0.857142857142857, like_rate=0.0089153046062407, tedium=14.0]	SOLVED	10.0856	17	64	79	104	1664	159	103	103	16	1.52885	1.31416	16.1553	0	0	0	0.0	0.0
25 - Werner Ettinger - 45 [likes=2, dislikes=0, completion=0.807692307692308, like_ratio=1.0, like_rate=0.0096153846153846, tedium=5.25]	SOLVED	10.9622	13	45	128	140	2240	1058	127	147	16	7.55714	1.46247	17.6378	0	0	0	0.0	0.0
7 - Jacques Duthen - 46 [likes=6, dislikes=0, completion=0.919678714859438, like_ratio=1.0, like_rate=0.0240963855421687, tedium=6.0]	SOLVED	8.38738	7	21	12	12	144	26	1	12	12	2.16667	1.42616	144	0	0	0	0.0	0.0
33 - Jacques Duthen - 47 [likes=7, dislikes=0, completion=0.905, like_ratio=1.0, like_rate=0.035, tedium=11.0]	SOLVED	8.63942	12	24	29	32	256	58	10	19	8	1.8125	1.33484	25.6	0	0	0	0.0	0.0
28 - Jacques Duthen - 48 [likes=6, dislikes=0, completion=0.917874396135266, like_ratio=1.0, like_rate=0.0289855072463768, tedium=12.0]	SOLVED	9.4108	10	36	16	20	160	61	10	15	8	3.05	1.34928	16	0	0	0	0.0	0.0
1 - Jacques Duthen - 49 [likes=5, dislikes=0, completion=0.820855614973262, like_ratio=1.0, like_rate=0.0133689839572193, tedium=11.0]	SOLVED	9.86988	16	54	60	74	1184	195	40	98	16	2.63514	1.30866	29.6	0	0	0	0.0	0.0
19 - Jacques Duthen - 50 [likes=7, dislikes=0, completion=0.886699507389163, like_ratio=1.0, like_rate=0.0344827586206897, tedium=9.33333333333333]	SOLVED	9.24797	11	36	37	52	624	124	26	48	12	2.38462	1.43219	24	0	0	0	0.0	0.0
15 - Jacques Duthen - 51 [likes=6, dislikes=0, completion=0.909090909090909, like_ratio=1.0, like_rate=0.025974025974026, tedium=8.5]	SOLVED	8.46861	7	18	14	14	112	29	7	6	8	2.07143	1.45792	16	0	0	0	0.0	0.0
55 - Jacques Duthen - 52 [likes=8, dislikes=0, completion=0.665, like_ratio=1.0, like_rate=0.04, tedium=13.0]	SOLVED	9.82165	15	68	116	216	3456	337	199	255	16	1.56019	1.43097	17.3668	0	0	0	0.0	0.0
38 - Jacques Duthen - 53 [likes=8, dislikes=0, completion=0.802816901408451, like_ratio=1.0, like_rate=0.0375586854460094, tedium=13.0]	SOLVED	9.19993	12	28	37	46	368	67	23	38	8	1.45652	1.37582	16	0	0	0	0.0	0.0
59 - Jacques Duthen - 54 [likes=5, dislikes=0, completion=0.668181818181818, like_ratio=1.0, like_rate=0.0227272727272727, tedium=10.75]	SOLVED	8.86785	12	49	61	82	1312	246	50	69	16	3	1.44373	26.24	0	0	0	0.0	0.0
18 - Jacques Duthen - 55 [likes=9, dislikes=0, completion=0.881278538812785, like_ratio=1.0, like_rate=0.0410958904109589, tedium=8.33333333333333]	SOLVED	8.53497	12	35	38	40	480	107	33	46	12	2.675	1.35989	14.5455	0	0	0	0.0	0.0
3 - Jacques Duthen - 56 [likes=8, dislikes=0, completion=0.908730158730159, like_ratio=1.0, like_rate=0.0317460317460317, tedium=6.0]	SOLVED	8.50462	6	20	10	10	80	26	2	9	8	2.6	1.4678	40	0	0	0	0.0	0.0
17 - Jacques Duthen - 57 [likes=8, dislikes=0, completion=0.828996282527881, like_ratio=1.0, like_rate=0.0297397769516729, tedium=9.5]	SOLVED	8.51889	7	19	14	16	128	21	7	10	8	1.3125	1.48599	18.2857	0	0	0	0.0	0.0
16 - Jacques Duthen - 58 [likes=8, dislikes=0, completion=0.76824034334764, like_ratio=1.0, like_rate=0.0343347639484979, tedium=13.6666666666667]	SOLVED	8.81276	13	63	31	48	576	80	45	50	12	1.66667	1.34687	12.8	0	0	0	0.0	0.0
20 - Jacques Duthen - 59 [likes=8, dislikes=0, completion=0.829457364341085, like_ratio=1.0, like_rate=0.0310077519379845, tedium=12.6666666666667]	SOLVED	8.91962	11	40	29	38	456	96	42	66	12	2.52632	1.39193	10.8571	0	0	0	0.0	0.0
5 - Jacques Duthen - 60 [likes=10, dislikes=0, completion=0.899628252788104, like_ratio=1.0, like_rate=0.0371747211895911, tedium=10.0]	SOLVED	8.27821	10	22	17	18	144	42	9	9	8	2.33333	1.33514	16	0	0	0	0.0	0.0
8 - Jacques Duthen - 61 [likes=7, dislikes=0, completion=0.869767441860465, like_ratio=1.0, like_rate=0.0325581395348837, tedium=14.0]	SOLVED	8.63526	12	32	25	29	232	92	25	32	8	3.17241	1.32393	9.28	0	0	0	0.0	0.0
10 - Jacques Duthen - 62 [likes=9, dislikes=0, completion=0.839228295819936, like_ratio=1.0, like_rate=0.0289389067524116, tedium=11.0]	SOLVED	8.09407	6	24	7	8	64	21	1	0	8	2.625	1.41421	64	0	0	0	0.0	0.0
47 - Jacques Duthen - 63 [likes=8, dislikes=0, completion=0.849056603773585, like_ratio=1.0, like_rate=0.0377358490566038, tedium=4.75]	SOLVED	8.66124	9	20	27	31	496	107	14	52	16	3.45161	1.46456	35.4286	0	0	0	0.0	0.0
5 - Jacques Duthen - 64 [likes=7, dislikes=0, completion=0.781395348837209, like_ratio=1.0, like_rate=0.0325581395348837, tedium=12.3333333333333]	SOLVED	8.75085	11	49	36	42	504	100	35	99	12	2.38095	1.40465	14.4	0	0	0	0.0	0.0
4 - Jacques Duthen - 65 [likes=6, dislikes=0, completion=0.845814977973568, like_ratio=1.0, like_rate=0.026431718061674, tedium=8.33333333333333]	SOLVED	8.59413	8	33	20	24	288	57	20	30	12	2.375	1.48774	14.4	0	0	0	0.0	0.0
6 - Ghislain Martin - 66 [likes=5, dislikes=0, completion=0.736318407960199, like_ratio=1.0, like_rate=0.0248756218905473, tedium=30.0]	SOLVED	18.9324	21	316	354	510	8160	2168	1268	251	16	4.25098	1.34565	6.43533	0	0	0	0.0	0.0
1 - Ghislain Martin - 67 [likes=7, dislikes=1, completion=0.908296943231441, like_ratio=0.875, like_rate=0.0305676855895196, tedium=36.0]	SOLVED	8.36533	20	36	19	19	76	19	0	2	4	1	1.15861	0	0	0	0	0.0	0.0
17 - Ghislain Martin - 68 [likes=4, dislikes=0, completion=0.762135922330097, like_ratio=1.0, like_rate=0.0194174757281553, tedium=14.8]	SOLVED	4198.61	47	112	6201	390815	7816300	732897	875658	961318	20	1.8753	1.31516	8.9262	0	0	0	0.0	0.0
2 - Ghislain Martin - 69 [likes=10, dislikes=0, completion=0.827731092436975, like_ratio=1.0, like_rate=0.0420168067226891, tedium=82.0]	SOLVED	8.58558	25	82	24	24	96	25	13	6	4	1.04167	1.13556	7.38462	0	0	0	0.0	0.0
13 - Games 4 Brains - 70 [likes=4, dislikes=0, completion=0.679841897233202, like_ratio=1.0, like_rate=0.0158102766798419, tedium=6.66666666666667]	SOLVED	28.5616	11	55	580	919	22056	2289	946	1315	24	2.49075	1.85948	23.315	0	0	0	0.0	0.0
12 - Games 4 Brains - 71 [likes=3, dislikes=0, completion=0.659420289855073, like_ratio=1.0, like_rate=0.0108695652173913, tedium=5.0]	SOLVED	14.008	13	69	97	123	2952	723	87	236	24	5.87805	1.44798	33.931	0	0	0	0.0	0.0
23 - Games 4 Brains - 72 [likes=4, dislikes=0, completion=0.603864734299517, like_ratio=1.0, like_rate=0.0193236714975845, tedium=11.6]	SOLVED	13.5628	16	70	171	240	4800	742	176	236	20	3.09167	1.40852	27.2727	0	0	0	0.0	0.0
1 - Games 4 Brains - 73 [likes=12, dislikes=2, completion=0.414184397163121, like_ratio=0.857142857142857, like_rate=0.0170212765957447, tedium=9.0]	SOLVED	9.20599	11	55	34	40	480	98	10	28	12	2.45	1.39843	48	0	0	0	0.0	0.0
19 - Games 4 Brains - 74 [likes=3, dislikes=0, completion=0.731707317073171, like_ratio=1.0, like_rate=0.0146341463414634, tedium=8.5]	SOLVED	11.5156	7	66	74	88	1408	297	175	52	16	3.375	1.89576	8.04571	0	0	0	0.0	0.0
15 - Games 4 Brains - 75 [likes=3, dislikes=0, completion=0.653153153153153, like_ratio=1.0, like_rate=0.0135135135135135, tedium=4.0]	SOLVED	12.2769	11	36	89	117	2808	529	69	274	24	4.52137	1.54176	40.6957	0	0	0	0.0	0.0
14 - Games 4 Brains - 76 [likes=3, dislikes=0, completion=0.82843137254902, like_ratio=1.0, like_rate=0.0147058823529412, tedium=4.5]	SOLVED	12.4837	11	31	97	109	2616	574	119	470	24	5.26606	1.53187	21.9832	0	0	0	0.0	0.0
18 - Games 4 Brains - 77 [likes=2, dislikes=0, completion=0.570776255707763, like_ratio=1.0, like_rate=0.0091324200913242, tedium=4.66666666666667]	SOLVED	10.0825	7	44	22	25	600	138	11	120	24	5.52	1.58382	54.5455	0	0	0	0.0	0.0
22 - Games 4 Brains - 78 [likes=3, dislikes=0, completion=0.676190476190476, like_ratio=1.0, like_rate=0.0142857142857143, tedium=8.4]	SOLVED	12.9658	7	50	101	141	2820	535	283	257	20	3.79433	2.02783	9.96466	0	0	0	0.0	0.0
3 - Games 4 Brains - 79 [likes=8, dislikes=0, completion=0.699404761904762, like_ratio=1.0, like_rate=0.0238095238095238, tedium=13.0]	SOLVED	12.6124	15	39	150	226	2712	407	236	265	12	1.80088	1.43529	11.4915	0	0	0	0.0	0.0
17 - Games 4 Brains - 80 [likes=3, dislikes=0, completion=0.676855895196507, like_ratio=1.0, like_rate=0.0131004366812227, tedium=7.0]	SOLVED	12.1489	13	79	94	139	2780	367	182	85	20	2.64029	1.46166	15.2747	0	0	0	0.0	0.0
16 - Games 4 Brains - 81 [likes=2, dislikes=0, completion=0.685106382978723, like_ratio=1.0, like_rate=0.0085106382978723, tedium=7.5]	SOLVED	11.1691	9	65	75	110	2640	256	204	426	24	2.32727	1.68586	12.9412	0	0	0	0.0	0.0
20 - Games 4 Brains - 82 [likes=3, dislikes=0, completion=0.704453441295547, like_ratio=1.0, like_rate=0.0121457489878543, tedium=9.0]	SOLVED	9.798	13	73	49	67	1340	206	34	39	20	3.07463	1.38187	39.4118	0	0	0	0.0	0.0
2 - Games 4 Brains - 83 [likes=11, dislikes=0, completion=0.745562130177515, like_ratio=1.0, like_rate=0.0325443786982249, tedium=28.6666666666667]	SOLVED	13.482	18	164	157	229	2748	455	382	230	12	1.9869	1.35239	7.19372	0	0	0	0.0	0.0
11 - Games 4 Brains - 84 [likes=6, dislikes=1, completion=0.67965367965368, like_ratio=0.857142857142857, like_rate=0.025974025974026, tedium=8.5]	SOLVED	10.4371	8	34	48	54	864	172	52	46	16	3.18519	1.64645	16.6154	0	0	0	0.0	0.0
8 - Games 4 Brains - 85 [likes=5, dislikes=0, completion=0.604651162790698, like_ratio=1.0, like_rate=0.0166112956810631, tedium=5.75]	SOLVED	16.9707	23	103	301	425	13600	1280	383	570	32	3.01176	1.301	35.5091	0	0	0	0.0	0.0
7 - Games 4 Brains - 86 [likes=6, dislikes=0, completion=0.738170347003155, like_ratio=1.0, like_rate=0.0189274447949527, tedium=28.0]	SOLVED	14.4105	31	102	162	231	2772	522	380	433	12	2.25974	1.19192	7.29474	0	0	0	0.0	0.0
6 - Games 4 Brains - 87 [likes=6, dislikes=0, completion=0.704861111111111, like_ratio=1.0, like_rate=0.0208333333333333, tedium=20.3333333333333]	SOLVED	10.9479	23	99	80	106	1272	223	94	187	12	2.10377	1.22478	13.5319	0	0	0	0.0	0.0
12 - Games 4 Brains - 88 [likes=2, dislikes=0, completion=0.604477611940298, like_ratio=1.0, like_rate=0.0074626865671641, tedium=34.6666666666667]	SOLVED	16.8113	27	128	265	391	4692	578	567	473	12	1.47826	1.2474	8.27513	0	0	0	0.0	0.0
1 - Games 4 Brains - 89 [likes=7, dislikes=1, completion=0.503067484662577, like_ratio=0.875, like_rate=0.0143149284253579, tedium=10.5]	SOLVED	8.85923	11	29	26	26	208	33	16	19	8	1.26923	1.34473	13	0	0	0	0.0	0.0
15 - Games 4 Brains - 90 [likes=2, dislikes=0, completion=0.641791044776119, like_ratio=1.0, like_rate=0.0074626865671641, tedium=33.6666666666667]	SOLVED	13.0871	25	178	181	249	2988	448	378	328	12	1.7992	1.24695	7.90476	0	0	0	0.0	0.0
14 - Games 4 Brains - 91 [likes=2, dislikes=1, completion=0.622710622710623, like_ratio=0.666666666666667, like_rate=0.0073260073260073, tedium=28.6666666666667]	SOLVED	28.3222	22	114	480	878	10536	1548	1433	1042	12	1.7631	1.3608	7.35241	0	0	0	0.0	0.0
3 - Games 4 Brains - 92 [likes=5, dislikes=0, completion=0.749090909090909, like_ratio=1.0, like_rate=0.0181818181818182, tedium=15.6666666666667]	SOLVED	11.2689	18	135	77	102	1224	189	118	184	12	1.85294	1.29297	10.3729	0	0	0	0.0	0.0
17 - Games 4 Brains - 93 [likes=2, dislikes=0, completion=0.638392857142857, like_ratio=1.0, like_rate=0.0089285714285714, tedium=19.6666666666667]	SOLVED	10.4876	18	87	98	127	1524	225	104	138	12	1.77165	1.30881	14.6538	0	0	0	0.0	0.0
16 - Games 4 Brains - 94 [likes=3, dislikes=0, completion=0.697211155378486, like_ratio=1.0, like_rate=0.0119521912350598, tedium=41.6666666666667]	SOLVED	65.3387	51	201	1830	3098	37176	4476	4001	2539	12	1.4448	1.17072	9.29168	0	0	0	0.0	0.0
2 - Games 4 Brains - 95 [likes=7, dislikes=0, completion=0.664615384615385, like_ratio=1.0, like_rate=0.0215384615384615, tedium=23.0]	SOLVED	8.38337	15	46	24	24	192	39	7	22	8	1.625	1.23599	27.4286	0	0	0	0.0	0.0
5 - Games 4 Brains - 96 [likes=6, dislikes=2, completion=0.664634146341463, like_ratio=0.75, like_rate=0.0182926829268293, tedium=4.83333333333333]	SOLVED	10.5181	13	58	38	55	1320	262	32	171	24	4.76364	1.36105	41.25	0	0	0	0.0	0.0
10 - Games 4 Brains - 97 [likes=4, dislikes=0, completion=0.636904761904762, like_ratio=1.0, like_rate=0.0119047619047619, tedium=7.66666666666667]	SOLVED	19.7449	19	95	257	440	10560	1143	265	1171	24	2.59773	1.37762	39.8491	0	0	0	0.0	0.0
12 - Erim Sever - 98 [likes=2, dislikes=0, completion=0.154545454545455, like_ratio=1.0, like_rate=0.009090909090909, tedium=7.33333333333333]	SOLVED	32.2814	18	102	556	760	27360	2344	532	1343	36	3.08421	1.44559	51.4286	0	0	0	0.0	0.0
1 - Erim Sever - 99 [likes=5, dislikes=0, completion=0.476987447698745, like_ratio=1.0, like_rate=0.0209205020920502, tedium=7.5]	SOLVED	20.0559	13	55	329	563	13512	860	754	964	24	1.52753	1.62771	17.9204	0	0	0	0.0	0.0
7 - Erim Sever - 100 [likes=8, dislikes=0, completion=0.441176470588235, like_ratio=1.0, like_rate=0.0336134453781513, tedium=5.125]	SOLVED	142.304	13	75	1547	2897	92704	10392	6410	9372	32	3.58716	1.84631	14.4624	0	0	0	0.0	0.0
35 - Erim Sever - 101 [likes=3, dislikes=0, completion=0.737068965517241, like_ratio=1.0, like_rate=0.0129310344827586, tedium=8.0]	SOLVED	11.0517	16	56	114	143	2860	339	69	103	20	2.37063	1.36367	41.4493	0	0	0	0.0	0.0
39 - Erim Sever - 102 [likes=4, dislikes=0, completion=0.835748792270531, like_ratio=1.0, like_rate=0.0193236714975845, tedium=21.6666666666667]	SOLVED	9.51188	18	109	37	69	828	151	82	50	12	2.18841	1.2652	10.0976	0	0	0	0.0	0.0
3 - Erim Sever - 103 [likes=5, dislikes=0, completion=0.728813559322034, like_ratio=1.0, like_rate=0.0169491525423729, tedium=11.0]	SOLVED	13.576	20	58	122	211	4220	381	217	274	20	1.80569	1.30682	19.447	0	0	0	0.0	0.0
