board_string,width,height,boxes,is_solvable,dataset_type,shell_hash
"###########
#   @    .#
# $.# $$ ##
#   ##  ###
###$##  ###
###..#$. ##
#   ##    #
###########",11,8,5,0,"hard_negative",1880023348363069209
"###########
#   @    .#
# $.#  $ ##
#   ##  ###
###$##. ###
###* #$. ##
#   ##    #
###########",11,8,5,0,"hard_negative",1880023348363069209
"###########
#       @.#
# $.# $$ ##
#   ##  ###
###$##. ###
###. #$. ##
#   ##    #
###########",11,8,5,1,"positive",1880023348363069209
"###########
#     @  .#
# $.# $$ ##
#   ##  ###
###$##. ###
###. #$. ##
#   ##    #
###########",11,8,5,1,"positive",1880023348363069209
"###########
# .   @  .#
# $ # $$ ##
#   ##  ###
###$##. ###
###. #$. ##
#   ##    #
###########",11,8,5,1,"positive",1880023348363069209
"###########
# .      .#
# $ # $$ ##
#   ##  ###
###$##. ###
###. #$. ##
#   ##  @ #
###########",11,8,5,1,"positive",1880023348363069209
"########
#   .  #
#  .####
#  $.  #
### ## #
###$#@ #
#  .$  #
#.##$$ #
#  #  ##
#   ####
########",8,11,5,0,"easy_negative",3586418354697381600
"########
#   ####
# $$ @##
# $.$###
#  # $ #
#  # .##
#. # ###
####  .#
# # .# #
#      #
########",8,11,5,0,"easy_negative",8444689662592840508
"##############
# ##.   #  ###
#  #   ### ###
#    .  #    #
### ## ## ## #
### ##$##  #.#
#     $   ## #
#.##  $# #   #
# #### ###   #
#   ##    ####
# $ ## #   ###
#@  #. ##$ ###
########     #
##############",14,14,5,0,"easy_negative",4780345755108945449
"########
#. ..  #
# #$#  #
#  $## #
#   ##.#
#####. #
#    $ #
# $.# ##
## $ $ #
#####@##
########",8,11,6,0,"easy_negative",13202442255885822238
"##############
#       ##.###
##.$  # ## ###
###. ##      #
#  $# #. .####
# $$$@ ##.$$ #
##### ###   .#
##############",14,8,7,0,"easy_negative",9850898102418417043
"########
# ###  #
#  ### #
#   #  #
# .   ##
# # $ ##
#   ..##
###$####
##   . #
#.$  . #
#### $ #
# $ $# #
#    @ #
########",8,14,6,1,"positive",7268161000664968820
"##############
#.## ## . #  #
# ##.#  ###$ #
#   .## ###  #
##  ###. #   #
## $# #  # # #
##  $$#  #.@ #
####$ $  $  .#
#.     ## $# #
#      ##    #
##############",14,11,8,0,"easy_negative",8143470632788075693
"########
# ###  #
#  ### #
#   #  #
# .   ##
# #   ##
#   ..##
###$####
##   . #
#.$ $. #
#### $ #
# $ $# #
#    @ #
########",8,14,6,1,"positive",7268161000664968820
"###########
#         #
#. $ # ####
#   #### ##
# #$   $  #
# #  #  $ #
# #. $ ####
#.   $    #
#.##### . #
# ##    @.#
###########",11,11,6,0,"easy_negative",10006987507635485674
"########
# ###  #
#  ### #
#   #  #
# .   ##
# #   ##
#   ..##
###$####
##   . #
#.$ $  #
#### $ #
# $ *# #
#    @ #
########",8,14,6,1,"positive",7268161000664968820
"########
# ###  #
#  ### #
#   #  #
# .   ##
#@#   ##
#   ..##
###$####
##   . #
#.$ $  #
#### $ #
# $ *# #
#      #
########",8,14,6,0,"hard_negative",7268161000664968820
"###########
##      # #
##    . # #
##$ ### #.#
#  $  .$..#
##   #$.. #
###  $ ####
#  $ $$## #
# #. # #  #
#        @#
###########",11,11,8,0,"easy_negative",5654068083067192813
"########
# ###  #
#  ### #
# $ #  #
# .   ##
# #   ##
#   ..##
### ####
##   . #
#.$ $  #
#### $ #
# $ *# #
#    @ #
########",8,14,6,1,"positive",7268161000664968820
"##############
### # #. .   #
###$  $$ # #.#
#   # #.######
# $ $@ $  ####
##. $#$ #   ##
###.  ..     #
##############",14,8,8,0,"easy_negative",15031597434399184950
"########
# ###  #
#  ### #
# $ #  #
# .   ##
# #   ##
#   ..##
### ####
##   . #
#.$ $$ #
#### $ #
#   *# #
#    @ #
########",8,14,6,0,"hard_negative",7268161000664968820
"########
# ###  #
#  ### #
# $ #  #
# .   ##
# #   ##
#   ..##
###.####
##     #
#.$ $  #
#### $ #
# $ *# #
#    @ #
########",8,14,6,1,"positive",7268161000664968820
"########
#   #  #
# ###$ #
#@### .#
#   $$ #
#   ##.#
###### #
# ###  #
# ###  #
#  .#  #
# # # ##
# # $  #
# # #.##
########",8,14,4,0,"easy_negative",2601850059809284190
"########
########
#   .  #
# $.$@ #
#.$$## #
###.## #
###    #
########",8,8,4,1,"positive",2647897844703681025
"########
########
#   .  #
# $* @ #
#.$$## #
###.## #
###    #
########",8,8,4,0,"hard_negative",2647897844703681025
"########
########
#   +  #
# $.$  #
#.$$## #
###.## #
###    #
########",8,8,4,1,"positive",2647897844703681025
"########
########
#   +  #
# $.$  #
#.$$## #
### ## #
###  . #
########",8,8,4,0,"hard_negative",2647897844703681025
"########
########
#   .  #
# $.$  #
#.$$## #
###.##@#
###    #
########",8,8,4,1,"positive",2647897844703681025
"########
########
#   .  #
#@$.$  #
#.$$## #
###.## #
###    #
########",8,8,4,1,"positive",2647897844703681025
"########
########
#   .  #
#@$.$  #
# $$## #
###.## #
### .  #
########",8,8,4,0,"hard_negative",2647897844703681025
"########
########
#   .  #
# $+$  #
#.$$## #
###.## #
###    #
########",8,8,4,1,"positive",2647897844703681025
"###########
# # .. #  #
# # $#.#  #
# # $$ ## #
# ##$#  @ #
# ## # ## #
#.   # ## #
###########",11,8,4,0,"easy_negative",4577346216622408506
"########
## . @ #
## $####
## $ $ #
###$##.#
###$# ##
#.  ..##
########",8,8,5,0,"easy_negative",14064291767465477504
"########
### . ##
##.@#.##
# $$##.#
#.$  $ #
###$$###
### .###
########",8,8,6,0,"easy_negative",8359231568228361040
"###########
##        #
###$# $$# #
## $## .$ #
#  $ ###. #
#  #  ### #
#### $.# .#
##     ## #
### $#.## #
## .. @.  #
###########",11,11,8,0,"easy_negative",471826976692653817
"##############
## ####   ####
#  .    #  @ #
## #$  ###   #
##.  # #.  $ #
##   # #   #.#
## $ # # $####
## ###. $    #
# $ #        #
## #  .#######
##############",14,11,6,0,"easy_negative",8591305869239786841
"###########
# # #@  ###
# # #   .##
# # #    ##
# #.  #   #
# #. ##$###
# #   # ###
#         #
###   #   #
###$ ##$  #
#   $    ##
#  # #  ###
# ##   . ##
###########",11,14,4,1,"positive",318205027665826442
"##############
###   #      #
###.# # @###.#
#   ##  #### #
#       ##   #
# # #### ### #
#      #  ##.#
###    $ $ $ #
###$ ## #.#  #
# $$$##   ## #
##  .#### # ##
##  # .#   . #
##  ##    # ##
##############",14,14,7,0,"easy_negative",7116314793301355540
"###########
# # #   ###
# # #   .##
# # #    ##
# #.  #   #
# #. ##$###
# #   # ###
#       @ #
###   #   #
###$ ##$  #
#   $    ##
#  # #  ###
# ##   . ##
###########",11,14,4,1,"positive",318205027665826442
"###########
#### ##   #
## $ ##$# #
#   $   $.#
##. # #.  #
##.$.$ $# #
## $# #   #
#   #.#####
#  @.    ##
#   # #.###
###########",11,11,8,0,"easy_negative",114186671963646837
"###########
# # #   ###
# # #   .##
# #$#    ##
# #.  #   #
# #. ##$###
# #   # ###
#       @ #
###   #   #
###  ##$  #
#   $    ##
#  # #  ###
# ##   . ##
###########",11,14,4,0,"hard_negative",318205027665826442
"###########
# # #   ###
# # #   .##
# # #    ##
# #.  #   #
# #. ##$###
# #   # ###
#       @ #
###   #   #
###$ ##   #
#   $    ##
#  # # $###
# ##   . ##
###########",11,14,4,1,"positive",318205027665826442
"###########
# # #   ###
# # #   .##
# # #    ##
# #.  #   #
# #. ##$###
# #   # ###
#   @     #
###   #   #
###$ ##   #
#   $    ##
#  # # $###
# ##   . ##
###########",11,14,4,1,"positive",318205027665826442
"###########
#       ###
#### # $###
# @  $$. .#
## #$### ##
#### ## . #
#.$ .  #.##
# $.$   $ #
##.  #  # #
###       #
###########",11,11,8,0,"easy_negative",8790962784955683517
"###########
# # #   ###
# # #  $.##
# # #    ##
# #.  #   #
# #. ##$###
# #   # ###
#   @     #
###   #   #
###$ ##   #
#   $    ##
#  # #  ###
# ##   . ##
###########",11,14,4,1,"positive",318205027665826442
"###########
#      # ##
# # $$    #
#  .#### ##
# $   # $ #
# # . #  ##
####  #.###
#   # # ###
# # ### ###
#  @    . #
###########",11,11,4,0,"easy_negative",9687085314179997384
"###########
#@## ##  .#
# ##.## . #
# $$.$$ $.#
# $#####$##
## ##..$  #
####   #.##
###########",11,8,8,0,"easy_negative",11847789407031808493
"########
#  . ###
## $ ###
###  . #
#. $$. #
#   $# #
####@  #
########",8,8,4,1,"positive",14734183284333759496
"########
#. . ###
## $ ###
###  . #
#  $$. #
#   $# #
####@  #
########",8,8,4,1,"positive",14734183284333759496
"########
#. . ###
## $ ###
###  . #
#  $$* #
#    # #
####@  #
########",8,8,4,1,"positive",14734183284333759496
"########
#. . ###
## $ ###
###@ . #
#  $$* #
#    # #
####   #
########",8,8,4,1,"positive",14734183284333759496
"########
#. . ###
## $ ###
###  . #
#  $$* #
# @  # #
####   #
########",8,8,4,1,"positive",14734183284333759496
"########
########
# .# #.#
#  @$ .#
##$##.##
# $$$ .#
## ## ##
########",8,8,5,0,"easy_negative",12846072994731568311
"##############
##  ### # ####
##  # $ #  # #
##   $. #   .#
#### # # $   #
##   #.#  ####
###  # # $#.##
# $$###   #$##
# # $@  #    #
#   .. .. # ##
##############",14,11,8,0,"easy_negative",13217480812033796213
"###########
#  ########
#. ## #   #
#  #  # $ #
#     ## ##
# @  $#   #
####$ ## ##
#  $  .  ##
# . ### .##
#        ##
###########",11,11,4,0,"easy_negative",15276186515309249675
"##############
##   #    ####
### $# .# #@##
## $ #      ##
# $$$  # # $ #
##. ######$  #
###.   . . ..#
##############",14,8,7,0,"easy_negative",234273809082115673
"##############
## #  .## ####
#    .@##  #.#
## #  $$$ $  #
# $ # ####$  #
#    # .# $ ##
# ..### .  ###
##############",14,8,7,0,"easy_negative",13541499942048285049
"###########
####.    .#
##  $$ $  #
###    ####
##  # #.###
## #     ##
##### #  ##
#  $. $ ###
#       .##
#######@  #
###########",11,11,5,1,"positive",10131791540385509479
"##############
#    ###    ##
# $ $ ## . ###
####   ##   ##
#   # #.  ## #
# $$. @ # ## #
#   #.#      #
##############",14,8,4,0,"easy_negative",16253792123605607723
"###########
####. .   #
##  $$ $  #
###    ####
##  # #.###
## #     ##
##### #  ##
#  $. $ ###
#       .##
#######@  #
###########",11,11,5,1,"positive",10131791540385509479
"###########
####. .   #
##  $  $  #
###    ####
##  # #.###
## #     ##
##### #  ##
#  $. $ ###
#      $.##
#######@  #
###########",11,11,5,1,"positive",10131791540385509479
"###########
#  @.  ####
# #  ### ##
#    ##  ##
#  $$  $  #
#  #$# .###
####   .###
#   # # ###
#    $$ ###
#   # #   #
### ###   #
###   ###.#
# .  ####.#
###########",11,14,6,0,"easy_negative",18203403096382269375
"###########
#.   .    #
## $   ## #
###$##### #
#@$$# #####
#. $ $.. ##
#   #.# ###
###########",11,8,6,0,"easy_negative",13073982941915546868
"###########
####  .   #
##  $  $  #
###    ####
##  # #.###
## #     ##
##### #  ##
#  $. $ ###
#.     $.##
#######@  #
###########",11,11,5,1,"positive",10131791540385509479
"###########
## #   ## #
#   $# #  #
## #   @  #
#     $ # #
# # #  ####
#.  ##  # #
##  $    .#
## #  #..##
#### ######
##  $$  $ #
###..  #  #
##  ##### #
###########",11,14,6,0,"easy_negative",10312142055297390349
"##############
# #  ##   #  #
# #$ ## # #  #
# #       #  #
#.   $ #@#  ##
# # ###     ##
#     .# # ###
## #    #  $.#
#   $# ###   #
## #.   #    #
##############",14,11,4,1,"positive",5868451093668652571
"##############
# #  ##   #  #
# #$ ## # #  #
# #       #  #
#.   $ #@#  ##
# # ###     ##
#     .# #.###
## #    #  $ #
#   $# ###   #
## #.   #    #
##############",14,11,4,1,"positive",5868451093668652571
"##############
# #  ##   #  #
# #  ## # #  #
# #       #  #
#.   $ #@#  ##
# # ###     ##
#     .# #.###
## #    #  $ #
#   $# ### $ #
## #.   #    #
##############",14,11,4,0,"hard_negative",5868451093668652571
"##############
# #  ##   #  #
# #$ ## # #  #
# #  $    #  #
#.   $ #@#  ##
# # ###     ##
#     .# #.###
## #    #  $ #
#    # ###   #
## #.   #    #
##############",14,11,4,0,"hard_negative",5868451093668652571
"##############
# #  ##   #  #
# #$ ## # #  #
# #       #  #
#.   $ #@#  ##
# # ###     ##
#     .# # ###
## #    #  $ #
#   $# ### . #
## #.   #    #
##############",14,11,4,0,"hard_negative",5868451093668652571
"##############
# #  ##   #  #
# #$ ## # #  #
# #       #  #
#.   $ # #  ##
#@# ###     ##
#     .# #.###
## #    #  $ #
#   $# ###   #
## #.   #    #
##############",14,11,4,1,"positive",5868451093668652571
"##############
# #  ##   #  #
# #  ## # #  #
# #       #  #
#. $ $ # #  ##
#@# ###     ##
#     .# #.###
## #    #  $ #
#   $# ###   #
## #.   #    #
##############",14,11,4,1,"positive",5868451093668652571
"##############
# #  ##   #  #
# #  ## # #  #
# #       #  #
#. $ $ #$#  ##
#@# ###     ##
#     .# #.###
## #    #  $ #
#    # ###   #
## #.   #    #
##############",14,11,4,0,"hard_negative",5868451093668652571
"##############
# #  ##   #  #
# #  ## # #  #
# #       #  #
#. $ $ # #  ##
#@# ###  $  ##
#     .# #.###
## #    #    #
#   $# ###   #
## #.   #    #
##############",14,11,4,0,"hard_negative",5868451093668652571
"##############
# #  ##   # @#
# #  ## # #  #
# #       #  #
#. $ $ # #  ##
# # ###     ##
#     .# #.###
## #    #  $ #
#   $# ###   #
## #.   #    #
##############",14,11,4,1,"positive",5868451093668652571
"########
#  #   #
#  ##  #
#  ### #
# $$ $ #
# #  # #
#    ..#
#####$##
##@$$. #
# . # ##
#.# # ##
# #$ ..#
# # # ##
########",8,14,7,0,"easy_negative",4412115391636489322
"###########
####  .   #
##  $  $  #
###    ####
##  # #.###
## #     ##
##### #  ##
#  $. $$###
#.      .##
#######@  #
###########",11,11,5,1,"positive",10131791540385509479
"##############
## ##    .####
# $ #..$##.  #
## ##  $##.$ #
#  $ .# .$$$ #
#.# # ####@###
#   ##     ###
##############",14,8,8,0,"easy_negative",4987193868738988527
"###########
## #.## ###
#   . #  ##
##$#      #
#   # #$# #
####.   # #
#   # #$#.#
# ###  $# #
# ###   # #
# $ ##. # #
#  @ $. ###
# #####  ##
# ##      #
###########",11,14,6,0,"easy_negative",3571348671519181508
"##############
#  . ##    #@#
#  #  #$ #.# #
# ##.$.$##.# #
#.$$ ##$ # $ #
#### # $.#.###
#    ##  # ###
##############",14,8,8,0,"easy_negative",12501781299973630368
"###########
#    .#   #
# #  ##$# #
#   . #   #
#### ##$ ##
#.$  ##$$##
#    ..@ ##
###########",11,8,5,0,"easy_negative",8961872769123559603
"###########
####.     #
#  # $ ## #
#  $   ## #
#### # ## #
# #  # ## #
#  . #  $ #
###     # #
## . #@####
##      # #
##        #
##  ##$ # #
##. ##    #
###########",11,14,4,0,"easy_negative",440166192930030925
"##############
####.     # ##
## #@# ##$ . #
##     ## # ##
#. $  $  . $ #
###  #  ###  #
### ###.#### #
#       #### #
#   $# $ ### #
####     .   #
##############",14,11,6,1,"positive",13983150620638155061
"##############
####.     # ##
## # # ##$ . #
##     ## # ##
#+ $  $  . $ #
###  #  ###  #
### ###.#### #
#       #### #
#   $# $ ### #
####     .   #
##############",14,11,6,1,"positive",13983150620638155061
"##############
######     ###
# # #   #$ ###
#   #  $  $  #
##  @  ## $  #
##  #### . # #
## $    $ ####
###.######   #
###       .###
# . .     .###
##############",14,11,6,0,"easy_negative",17152215274056956676
"########
########
##. # ##
### $@##
## #$. #
# .$$ ##
## #.###
########",8,8,4,0,"easy_negative",651640929342040707
"##############
####.@    # ##
## # # ##$ . #
##     ## # ##
#. $  $  . $ #
###  #  ###  #
### ###.#### #
#       #### #
#   $# $ ### #
####     .   #
##############",14,11,6,1,"positive",13983150620638155061
"##############
#      ## # ##
#   ## ##  . #
#   ##  . # ##
#  # ## $ .@##
#  # ##     ##
# ##.  ### ###
# $  #     $ #
##   #  #$ # #
#### #       #
##############",14,11,4,1,"positive",13366684139563082999
"###########
###### #  #
# # ## #  #
#.   $$#  #
#  $    . #
#.#  #  ###
#@      ###
##        #
##   ## ###
###  ##$###
#   ##    #
#   #  ## #
#      ##.#
###########",11,14,4,0,"easy_negative",17116385091465572376
"##############
#      ## # ##
#   ## ##  . #
#   ##  .$# ##
#  # ## $ .@##
#  # ##     ##
# ##.  ### ###
#    #     $ #
##   #  #$ # #
#### #       #
##############",14,11,4,0,"hard_negative",13366684139563082999
"##############
#      ## # ##
#   ## ##    #
#   ##  . # ##
#  # ## $ .@##
#  # ##     ##
# ##.  ### ###
# $  #     $ #
##   #  #$ # #
#### # .     #
##############",14,11,4,1,"positive",13366684139563082999
"##############
#      ## # ##
#   ## ##    #
#   ##  . # ##
#  # ## $ .@##
#  # ##     ##
# ##.  ### ###
# $  #    $$ #
##   #  #  # #
#### # .     #
##############",14,11,4,1,"positive",13366684139563082999
"##############
#      ## # ##
#   ## ##  $ #
#   ##  . # ##
#  # ## $ .@##
#  # ##     ##
# ##.  ### ###
# $  #    $  #
##   #  #  # #
#### # .     #
##############",14,11,4,0,"hard_negative",13366684139563082999
"##############
#      ## # ##
#   ## ##    #
#   ##  . # ##
#  # ## $ . ##
#  # ##     ##
# ##.  ### ###
# $  #    $$ #
##   #  #  # #
####@# .     #
##############",14,11,4,1,"positive",13366684139563082999
"##############
#     .## # ##
#   ## ##    #
#   ##  . # ##
#  # ## $ . ##
#  # ##     ##
# ##.  ### ###
# $  #    $$ #
##   #  #  # #
####@#       #
##############",14,11,4,0,"hard_negative",13366684139563082999
"##############
#      ## # ##
#   ## ##    #
#   ##  . #@##
#  # ## $ . ##
#  # ##     ##
# ##.  ### ###
# $  #    $$ #
##   #  #  # #
#### # .     #
##############",14,11,4,1,"positive",13366684139563082999
"##############
#  .# #  #####
# #    $$#   #
# . # #  # $ #
#     #     @#
### # ### $# #
### #####..  #
##############",14,8,4,0,"easy_negative",16100843156103412694
"########
#### ###
## #$###
##.$$@ #
#.. $$.#
#.#$#  #
# . ## #
########",8,8,6,0,"easy_negative",13359893599172061870
"##############
#.    @   # ##
# #  #### .$ #
#   .#### # ##
#   ###  $   #
#### #  #$ # #
# $  . $     #
####$###$#   #
## #  # $  #.#
##  ...# #   #
##############",14,11,8,0,"easy_negative",3035788822355419587
"########
#   .@ #
# #$.# #
# $$$$ #
# ###$.#
# .##$.#
#  .# .#
########",8,8,7,0,"easy_negative",5007086537325787075
"##############
#   ## ##    #
# # ## ##    #
#     $ $ ####
##  ## .  ## #
## ###  # #. #
####.    @# .#
# ##   # ## ##
#.## #     $ #
#   $  #$## ##
## $ #    ####
## .###  .$  #
##   #       #
##############",14,14,7,0,"easy_negative",14065579278466028084
"###########
#       ###
# #$.##@###
#  . ##$  #
## #$ $   #
#   . ##  #
##.# #### #
###########",11,8,4,1,"positive",1564700710458917734
"###########
#       ###
# #$.##@###
#  . ##$  #
## #$ *   #
#   . ##  #
## # #### #
###########",11,8,4,1,"positive",1564700710458917734
"###########
#       ###
# #$.## ###
#  . ##$  #
## #$ *   #
#   . ##  #
## # ####@#
###########",11,8,4,0,"hard_negative",1564700710458917734
"###########
#       ###
# # .##@###
#  * ##$  #
## #$ *   #
#   . ##  #
## # #### #
###########",11,8,4,1,"positive",1564700710458917734
"###########
# @     ###
# # .## ###
#  * ##$  #
## #$ *   #
#   . ##  #
## # #### #
###########",11,8,4,1,"positive",1564700710458917734
"###########
# @     ###
# #$.## ###
#  * ##   #
## #$ *   #
#   . ##  #
## # #### #
###########",11,8,4,1,"positive",1564700710458917734
"########
# . .  #
# #$$###
#@  $###
# .$ ###
#.#$$ ##
# ..####
########",8,8,6,0,"easy_negative",2810656668339391934
"##############
#   ##  ######
# # #   ### ##
# $ #       ##
###$ .# $ #. #
###@# #.# #  #
# $ ###$  # .#
#   .$  ## ###
# #$ ## ##  ##
#  . ##  .  ##
##############",14,11,7,0,"easy_negative",5554490834467429662
"###########
#    ##   #
#     # ###
#   ###@###
# ##   .###
#. ### $ ##
# $###  $ #
#    ##$###
# #. ##  ##
#         #
###### ####
##  ##$#.##
###.     ##
###########",11,14,5,0,"easy_negative",3952060910486061755
"########
# ## . #
# ##$# #
#  $   #
## ### #
#.  #.##
## #  ##
# $$ ###
# ##  ##
# ######
# . $. #
#@# $# #
# .    #
########",8,14,6,0,"easy_negative",14193695207978484599
"##############
####.@    # ##
## # #$##$ . #
##     ## # ##
#. $     . $ #
###  #  ###  #
### ###.#### #
#       #### #
#   $# $ ### #
####     .   #
##############",14,11,6,1,"positive",13983150620638155061
"###########
# ### #   #
#@ # $  ###
# $## # ###
## # ##  ##
# $ $.#  ##
## ####  ##
#       ###
# ##### ###
# ##    . #
#.#####  .#
#  # #    #
#      ####
###########",11,14,4,0,"easy_negative",29088781430800177
"##############
### ##  . #  #
### #     #$ #
#    ##   #$.#
##. $..##    #
##  #  #  ## #
##  ##  . ## #
###$$   #  ###
### $#$###$###
#  @    #..  #
##############",14,11,8,0,"easy_negative",7259441912044682844
"##############
####.     # ##
## # #$##$ . #
##     ## # ##
#. $     . $ #
###  #  ###  #
### ###.#### #
#       ####@#
#   $# $ ### #
####     .   #
##############",14,11,6,1,"positive",13983150620638155061
"##############
#   #@#      #
# #    #  $# #
#   # ####  .#
# ## ####    #
#  #$#### #  #
#   $.    ## #
## $ ##   #  #
##   #. # #. #
###  ##   #  #
##############",14,11,4,0,"easy_negative",10774790570301315804
"##############
#   .   ##   #
# ## # $## # #
# ##  $    . #
#   ##$###. ##
#  $## # @ ###
#.     ##   ##
##############",14,8,4,1,"positive",7002702941868173498
"##############
#   .   ##   #
# ## # $## # #
# ##  $    .@#
#   ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,1,"positive",7002702941868173498
"##############
#   .   ##   #
# ## #  ## # #
# ##  $    .@#
# $ ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # *## # #
# ##  $    .@#
#   ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,1,"positive",7002702941868173498
"##############
#       ## . #
# ## # *## # #
# ##  $     @#
#   ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ## . #
# ## # $## # #
# ##  $    .@#
#   ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # *## # #
# ##  $    .@#
# $ ## ###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ## . #
# ## # $## # #
# ##  $    .@#
#   ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # *## # #
#.##  $    .@#
#   ##$###  ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # $## # #
# ##  $    .@#
#   ##$###. ##
#  $## #   ###
#.  .  ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # $## # #
# ##  $    .@#
#   ##$###. ##
# .$## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # .##$# #
# ##  $    .@#
#   ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # $## # #
# ##  $    .@#
#   ##$###. ##
#  $## #   ###
#.   . ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # *## # #
# ## $$    .@#
#   ## ###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # .## # #
# ##  $    *@#
#   ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,0,"hard_negative",7002702941868173498
"##############
#       ##   #
# ## # *## # #
#@##  $    . #
#   ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,1,"positive",7002702941868173498
"##############
#       ##  @#
# ## # *## # #
# ##  $    . #
#   ##$###. ##
#  $## #   ###
#.     ##   ##
##############",14,8,4,1,"positive",7002702941868173498
"##############
# #  #####  ##
# # $##  # ###
# #  $      ##
# ##   ####  #
# ###### ##  #
#     .#$ #$ #
# @       # ##
# ##### ##   #
# ##  . ### ##
#   ##    .  #
# #$##  ##   #
#    .  ## . #
##############",14,14,5,0,"easy_negative",1249093171410365270
"###########
#  ### . @#
# ###   ###
#  # ##.###
##.     $ #
## $##$ # #
##  ## $  #
###..##   #
###  ##   #
#  $   ####
#### #### #
#     ### #
#         #
###########",11,14,5,0,"easy_negative",12604791727685410149
"###########
### ##    #
##  ##  # #
#   . $ $ #
#     $   #
###  # # @#
###    ## #
# . ## #  #
#   # .#.##
#  $   ####
## # #### #
#    #### #
## #      #
###########",11,14,4,0,"easy_negative",14483202006688258374
"########
########
##   # #
#@. $$.#
#### ###
# # $###
#   .  #
########",8,8,3,0,"easy_negative",4477508410985812201
