run_id,generation,pushes,board_string,width,height,boxes
2,2,12,"###########
#####  # ##
## ## $  @#
##. #  # ##
# . $ #  ##
##  $ # ###
###  .#  ##
###########",11,8,3
2,3,17,"###########
#####  # ##
## ##    @#
##. #  # ##
# .$$ #  ##
##  $ # ###
###  .#  ##
###########",11,8,3
2,8,18,"###########
#####  # ##
## ##  $. #
##. #@ # ##
# .$$ #  ##
##  $ # ###
###  .#  ##
###########",11,8,4
2,15,19,"###########
#####  # ##
##@## $.  #
##. #  # ##
# .$$ #  ##
## $  # ###
###  .#  ##
###########",11,8,4
2,36,20,"###########
#####  # ##
## ## $ . #
##.@#  # ##
# .$$ #  ##
## $  # ###
###  .#  ##
###########",11,8,4
2,41,21,"###########
#####  # ##
## ## $  .#
##. #  # ##
# .$$ #  ##
##@$  # ###
###  .#  ##
###########",11,8,4
2,46,22,"###########
#####  # ##
## ## $  .#
##. #  # ##
#+ $$ #  ##
## $  # ###
###  .#  ##
###########",11,8,4
2,54,23,"###########
#####  # ##
## ## $  .#
##. #  # ##
#+$ $ #  ##
## $  # ###
###  .#  ##
###########",11,8,4
2,65,24,"###########
#####  # ##
##.## $  .#
##  #  # ##
#+$ $ #  ##
## $  # ###
###  .#  ##
###########",11,8,4
3,0,8,"###########
#### ######
#    ###  #
#      ##.#
####      #
#@   #  # #
#   ###   #
#  #  $  ##
## # ## ###
#### ##  ##
## #   # ##
#         #
## ##### ##
###########",11,14,1
3,3,12,"###########
#### ######
#    ###  #
#      ##.#
####    . #
#    # @# #
#   ### $ #
#  #  $  ##
## # ## ###
#### ##  ##
## #   # ##
#         #
## ##### ##
###########",11,14,2
3,4,13,"###########
#### ######
#    ###  #
#      ##.#
####    . #
#    # @# #
#   ### $ #
#  # $   ##
## # ## ###
#### ##  ##
## #   # ##
#         #
## ##### ##
###########",11,14,2
3,6,14,"###########
#### ######
#    ###@ #
#      ## #
####.  .$ #
#   .# $# #
#   ###   #
#  #  $  ##
## # ## ###
#### ##  ##
## #   # ##
#         #
## ##### ##
###########",11,14,3
3,9,15,"###########
#### ######
#    ###@.#
#      ## #
####      #
#   .# $# #
# $ ###   #
# .#  $  ##
## # ## ###
#### ##  ##
## #   # ##
#         #
## ##### ##
###########",11,14,3
3,14,16,"###########
#### ######
#    ### .#
#      ## #
####      #
#   .# $# #
# $ ###   #
# .#  $  ##
## # ## ###
#### ## @##
## #   # ##
#  .$     #
## ##### ##
###########",11,14,4
3,15,18,"###########
#### ######
#    ### .#
#      ## #
####      #
#   .# $# #
# $ ###   #
# .#  $  ##
## # ## ###
#### ## @##
## #   # ##
#.  $     #
## ##### ##
###########",11,14,4
3,18,23,"###########
#### ######
#    ### .#
#    $ ## #
####    . #
#   .# $# #
# $ ### $ #
# +#     ##
## # ## ###
#### ##  ##
## #   # ##
#  .$     #
## ##### ##
###########",11,14,5
3,24,24,"###########
#### ######
#    ### .#
# .$ $ ## #
####    . #
# @ .# $# #
# $ ### $ #
# .#     ##
## # ## ###
#### ##  ##
## #   # ##
#  .$     #
## ##### ##
###########",11,14,6
3,25,28,"###########
#### ######
#    ### .#
# .$ $ ## #
####    . #
# @ .# $# #
# $ ### $ #
# .#     ##
## # ## ###
#### ##  ##
## # $ # ##
# ..$     #
## ##### ##
###########",11,14,7
3,29,29,"###########
#### ######
#    ### .#
# *  $ ## #
####    . #
# @ .# $# #
# $ ### $ #
# .#     ##
## # ## ###
#### ##  ##
## # $ # ##
# ..$     #
## ##### ##
###########",11,14,7
3,30,30,"###########
#### ######
#    ### .#
# .  $ ## #
####    * #
#   .# $# #
# $ ### $@#
# .#     ##
## # ## ###
#### ##  ##
## # $ # ##
# ..$     #
## ##### ##
###########",11,14,7
3,33,31,"###########
#### ######
#    ### .#
# .  $ ## #
####    * #
#   .# $# #
# $ ### $@#
#  #     ##
##.# ## ###
#### ##  ##
## # $ # ##
# ..$     #
## ##### ##
###########",11,14,7
3,39,32,"###########
#### ######
#    ### +#
# .  $ ## #
####    * #
#   .# $# #
# $ ### $ #
#  #     ##
##.# ## ###
#### ##  ##
## # $ # ##
#. .$     #
## ##### ##
###########",11,14,7
3,41,34,"###########
#### ######
#    ### .#
#    $ ## #
####    * #
#   .# $# #
# $ ### $@#
#  #     ##
##.# ## ###
#### ##. ##
## # $ # ##
# ..$     #
## ##### ##
###########",11,14,7
3,43,37,"###########
#### ######
#    ### .#
#    $ ##@#
####    * #
#   .# $# #
# $ ### $ #
#  #     ##
##.# ## ###
#### ##. ##
## # $ # ##
# ..   $  #
## ##### ##
###########",11,14,7
3,52,38,"###########
#### ######
#    ### .#
#    $ ##@#
####    *.#
#   .# $# #
# $ ### $ #
#  #     ##
##.# ## ###
#### ##  ##
## # $ # ##
# ..   $  #
## ##### ##
###########",11,14,7
3,53,39,"###########
#### ######
#    ### .#
#   .$ ##@#
####    *.#
#   .# $# #
# $ ### $ #
#  #     ##
## # ## ###
#### ##  ##
## # $ # ##
# ..   $  #
## ##### ##
###########",11,14,7
3,56,41,"###########
#### ######
#    ### .#
#   .$ ##+#
####    $.#
#   .# $# #
# $ ### $ #
#  #     ##
## # ## ###
#### ##  ##
## # $ # ##
# ..   $  #
## ##### ##
###########",11,14,7
4,0,5,"###########
#    ##   #
# ## @#  ##
# ##$   ###
#      .  #
##   # ## #
### ##### #
###########",11,8,1
4,1,8,"###########
#    ##   #
# ##  #@ ##
# ##    ###
# $   $.. #
##   # ## #
### ##### #
###########",11,8,2
4,2,10,"###########
#    ##   #
# ## @#  ##
# ##$$  ###
#    $... #
##   # ## #
### ##### #
###########",11,8,3
4,3,15,"###########
#    ##   #
# ##  #  ##
# ##  $.###
# $   $..@#
##   # ## #
### ##### #
###########",11,8,3
4,6,16,"###########
#    ##   #
# ##  #+ ##
# ##$$$ ###
#    $... #
##   # ## #
### ##### #
###########",11,8,4
4,7,19,"###########
#    ##.  #
# ##  #  ##
# ##  $ ###
# $   $ .+#
##   # ## #
### ##### #
###########",11,8,3
4,13,21,"###########
#    ##.  #
# ##  #  ##
# ##  $ ###
# $     *.#
##   # ##@#
### ##### #
###########",11,8,3
4,23,22,"###########
#    ##.  #
# ##  #  ##
# ## $$$###
#      .*.#
##   # ##@#
### ##### #
###########",11,8,4
4,27,23,"###########
#    ##.  #
# ##. #  ##
# ##$$$$###
#      .*.#
##   # ##@#
### ##### #
###########",11,8,5
4,30,25,"###########
#    ##.  #
# ##  #  ##
# ##$$$$###
# .    .*.#
##   # ##@#
### ##### #
###########",11,8,5
4,35,26,"###########
#    ##.  #
# ##  #  ##
# ##$$$$###
#      .*.#
##   #.## #
### #####@#
###########",11,8,5
4,47,27,"###########
#    ##.  #
# ##$ #  ##
# ## $$$###
#.     .*.#
##   # ## #
### #####@#
###########",11,8,5
5,0,12,"##############
#    ## # # ##
##  # # #    #
### #   # # ##
##  ##      ##
## $#   #   ##
##  #      .##
#          ###
####   ###  ##
## #   # #  ##
# @  #    ####
# #  #  #   ##
#    #       #
##############",14,14,1
5,1,19,"##############
#    ## # # ##
##  # # #    #
### #   # # ##
##  ##      ##
##  #   #   ##
##  #     $ ##
#          ###
####  @###  ##
## #.  # #  ##
#   .#    ####
# #  #$ #   ##
#    #       #
##############",14,14,2
5,3,29,"##############
#    ## # # ##
##  # # #    #
### # . #.# ##
##  ##.     ##
##  #  @#   ##
##  #    $  ##
#       $  ###
####   ###  ##
## #  $# #  ##
#   .#  $ ####
# #  #  #   ##
#    #       #
##############",14,14,4
5,4,34,"##############
#    ## # # ##
##  # # #  . #
### # ..#.# ##
##  ##.     ##
##  #  @#  $##
##  #    $  ##
#       $  ###
####   ###  ##
## # $$# #  ##
#    #    ####
# #  #  #   ##
#    #       #
##############",14,14,5
5,5,35,"##############
#    ## # # ##
##  # # #  . #
### # ..#.# ##
##  ##      ##
##  #  @#  $##
##  #       ##
#       $  ###
####   ###  ##
## # $$# #  ##
#    #    ####
# #  #  #   ##
#    #       #
##############",14,14,4
5,6,40,"##############
#    ## # # ##
##  # # #  . #
### # ..#.#.##
##  ##      ##
##  #  @#  $##
##  #    $  ##
#       $  ###
####   ###  ##
## # $$# #  ##
#    #    ####
# #  #  #   ##
#    #       #
##############",14,14,5
5,8,44,"##############
#    ## # # ##
## .# # #    #
### #   # # ##
##  ## $  $ ##
## $#   # $ ##
##  #$  $   ##
# ... .    ###
####  @###  ##
## #.. # #  ##
#    #    ####
# #  #$ #   ##
#    #       #
##############",14,14,7
5,9,46,"##############
#    ## # # ##
##  # # #  . #
### # ..#.#.##
##  ##      ##
##  #  @#  $##
##  #       ##
#       $  ###
#### $ ###  ##
## # $$# #  ##
#    #    ####
# #  #  #   ##
#    #       #
##############",14,14,5
5,11,47,"##############
#    ## # # ##
##  # # #  . #
### #@$.#.# ##
##  ##      ##
##  # . #  .##
## $#       ##
#       $  ###
####   ###  ##
## # $$# #  ##
#    #    ####
# #  #  #   ##
#    #       #
##############",14,14,5
5,13,49,"##############
#    ## # # ##
##  # # #  . #
### #  .#.#.##
##  ##      ##
##  #  @#   ##
##  #       ##
#       $  ###
#### $ ###  ##
## # $$# #  ##
#    #    ####
# #  #  #   ##
#    #       #
##############",14,14,4
5,17,50,"##############
#    ## # # ##
##  # # #  . #
### # ..# #.##
##  ##      ##
##  #   # @ ##
##  #       ##
#       $  ###
####  $###  ##
## # $ # #  ##
#    #  $ ####
# #  #  #   ##
#    #       #
##############",14,14,4
5,23,53,"##############
#    ## # # ##
##  # # #  . #
### # ..#@#.##
##  ##      ##
##  #   #   ##
##  #       ##
#       $  ###
####$ $###  ##
## # $ # #  ##
#    #  $ ####
# # .#  #   ##
#    #       #
##############",14,14,5
5,31,60,"##############
#    ## # # ##
##  # # #  ..#
### #  .# #.##
##  ##      ##
##  #   #   ##
##  #       ##
#  @    $  ###
####$ $###  ##
## # $ # #  ##
#    #  $ ####
# # .#  #   ##
#    #       #
##############",14,14,5
5,46,62,"##############
#    ##.# # ##
##  # # #  ..#
### #   # #.##
##  ##      ##
##  #   #   ##
## @#       ##
#       $  ###
####$ $###  ##
## # $ # #  ##
#    #  $ ####
# # .#  #   ##
#    #       #
##############",14,14,5
5,49,64,"##############
#    ##.# #.##
##  # # #  ..#
### #   # # ##
##  ##      ##
##  #   #   ##
## @#       ##
#       $  ###
####$ $###  ##
## # $ # #  ##
#    #  $ ####
# # .#  #   ##
#    #       #
##############",14,14,5
5,57,66,"##############
#    ## #.#.##
##  # # #  ..#
### #   # #@##
##  ##      ##
##  #   #   ##
##  #       ##
#       $  ###
####$ $###  ##
## # $ # #  ##
#    #  $ ####
# # .#  #   ##
#    #       #
##############",14,14,5
6,0,5,"########
#### ###
##   ###
### @  #
#   ####
###$  ##
###  ###
#.   ###
#### ###
#      #
## #  ##
#   # ##
## #####
########",8,14,1
6,3,7,"########
#### ###
##   ###
### $@ #
#   ####
###   ##
###  ###
# .  ###
#### ###
#      #
## #  ##
#   # ##
## #####
########",8,14,1
6,15,8,"########
#### ###
## . ###
###    #
#   ####
###   ##
###$ ###
#. $ ###
#### ###
# .$   #
## #  ##
#   #@##
## #####
########",8,14,3
6,26,9,"########
#### ###
## . ###
###@$. #
#   ####
###   ##
###$ ###
#. $ ###
#### ###
# .$   #
## #  ##
#   # ##
## #####
########",8,14,4
6,32,11,"########
#### ###
## . ###
###$@  #
#   ####
###   ##
###  ###
#. $ ###
#### ###
# .$   #
## #  ##
#   # ##
## #####
########",8,14,3
6,45,12,"########
#### ###
## . ###
###$@  #
#   ####
###   ##
###  ###
#. $ ###
#### ###
#. $   #
## #  ##
#   # ##
## #####
########",8,14,3
6,54,13,"########
#### ###
##.  ###
###$@  #
#   ####
###   ##
###  ###
#. $ ###
#### ###
#. $   #
## #  ##
#   # ##
## #####
########",8,14,3
7,0,5,"########
#   #@ #
### ## #
### #  #
#     .#
# #$####
#      #
# #### #
#  ### #
#  #   #
########",8,11,1
7,1,7,"########
#   #@ #
### ## #
### #  #
#     .#
# #$####
#  $ . #
# #### #
#  ### #
#  #   #
########",8,11,2
7,2,8,"########
#   #@ #
### ## #
### #  #
#     .#
# #$####
# $  . #
# #### #
#  ### #
#  #   #
########",8,11,2
7,8,9,"########
#   #@ #
###.## #
###$#  #
#     .#
# #$####
# $  . #
# #### #
#  ### #
#  #   #
########",8,11,3
7,9,10,"########
#   #  #
### ## #
###.#  #
# $  . #
# #$####
# $   .#
# #### #
# @### #
#  #   #
########",8,11,3
7,11,11,"########
#   #  #
###.## #
###.#  #
# $ $. #
# #$####
# $   .#
# #### #
# @### #
#  #   #
########",8,11,4
7,20,12,"########
#   #  #
###.## #
###$#  #
#@$  . #
# #$####
# $  ..#
# #### #
#  ### #
#  #   #
########",8,11,4
7,25,14,"########
#  .#  #
### ## #
###$#  #
#@$  ..#
# #$####
# $   .#
# #### #
#  ### #
#  #   #
########",8,11,4
8,0,12,"##############
###       .  #
##  #   #  ###
#  $##     ###
#        #   #
#### # # # # #
#   @  ##    #
##############",14,8,1
8,1,18,"##############
###       .  #
##  #   #  ###
#  $##     ###
#        # $ #
#### # # #.# #
#   @  ##    #
##############",14,8,2
8,2,23,"##############
###       .  #
##  #   #  ###
#  $##     ###
# $    . # $ #
#### # # #.# #
#   @  ##    #
##############",14,8,3
8,3,31,"##############
###       .  #
##  #  .#  ###
#  $##     ###
#    $   #.$ #
#### #$# #.# #
#   @  ##    #
##############",14,8,4
8,4,34,"##############
###       .  #
##  #  .#  ###
# $$##     ###
# .  $   #.$ #
#### #$# #.# #
#   @  ##    #
##############",14,8,5
8,5,39,"##############
###       .  #
##  #  .#  ###
# $$##     ###
#    $   #.  #
#### #$# #.# #
#   @  ##    #
##############",14,8,4
8,6,47,"##############
###       .  #
##  #  .#  ###
# $$##$   .###
#    $   #.  #
#### #$# #.# #
#   @  ##    #
##############",14,8,5
8,8,49,"##############
###       .  #
##  #   #  ###
# $$##$ . .###
#    $   #.  #
#### #$# #.# #
#   @  ##    #
##############",14,8,5
8,9,52,"##############
###       .  #
##  #   #  ###
# $$##$ ...###
#    $   #.$ #
#### #$# #.# #
#   @  ##    #
##############",14,8,6
8,23,54,"##############
###         .#
##  #   #  ###
# $$##  ...###
#    $ $ #.$ #
#### #$# #.# #
#   @  ##    #
##############",14,8,6
8,27,56,"##############
###          #
##  #   #  ###
# $$##  ...###
#    $ $ #.$ #
#### #$# #.# #
#   @  ##.   #
##############",14,8,6
8,33,57,"##############
###          #
## $#   #  ###
# $ ##  ...###
#    $ $ #.$ #
#### #$# #.# #
#@     ##.   #
##############",14,8,6
8,48,59,"##############
###          #
## $#   #  ###
#@$ ##$ ...###
#    $   # $ #
#### #$# #.# #
#      ##..  #
##############",14,8,6
8,49,60,"##############
###          #
## $#   #  ###
#@$ ##$ .. ###
#    $   #.$ #
#### #$# #.# #
#      ##..  #
##############",14,8,6
8,55,64,"##############
###          #
## $#  $#  ###
#@$ ##$ ...###
#    $   #.$ #
#### #$# #.# #
#      ##..  #
##############",14,8,7
8,64,66,"##############
###          #
## $#  $#  ###
#@$ ##$ ...###
#  $     #.$ #
#### #$# #.# #
#      ##..  #
##############",14,8,7
9,0,9,"##############
#      .## ###
#   $   ##  ##
#######      #
# #####   ####
#  #  #      #
#  #   ###   #
# ####  @  # #
# ###    # # #
#      ### # #
##############",14,11,1
9,4,11,"##############
#      .## ###
# $     ##  ##
#######      #
# #####   ####
#  #  #      #
#  #   ###   #
# ####  @  # #
# ###    # # #
#      ### # #
##############",14,11,1
9,7,13,"##############
#      .## ###
# $     ##  ##
#######      #
# #####   ####
#  #  #      #
#  #   ### $ #
# ####  @ .# #
# ###    # # #
#      ### # #
##############",14,11,2
9,15,16,"##############
#      .## ###
# $     ##  ##
#######   .  #
# ##### $ ####
#  #  #      #
#  #   ### $ #
# ####    .# #
# ###    # # #
#      ###@# #
##############",14,11,3
9,19,22,"##############
#      .## ###
# $     ##  ##
#######   .  #
# ##### $ ####
#  #  #      #
#  #   ### $ #
# ####   $.# #
# ###    #.# #
#      ###@# #
##############",14,11,4
9,23,23,"##############
#      .## ###
# $ $ . ##  ##
#######   .  #
# #####  $####
#  #  #    @ #
#  #   ### $ #
# ####   $.# #
# ###    #.# #
#      ### # #
##############",14,11,5
9,26,25,"##############
#   @  .## ###
# $     ##  ##
#######   .. #
# ##### $$####
#  #  #      #
#  #   ### $ #
# ####   $.# #
# ###    #.# #
#      ### # #
##############",14,11,5
9,27,27,"##############
#   @  .## ###
# $ $ . ##  ##
#######   .. #
# ##### $$####
#  #  #      #
#  #   ### $ #
# ####   $.# #
# ###    #.# #
#      ### # #
##############",14,11,6
9,43,28,"##############
# @    .## ###
# $ $ . ##  ##
####### $... #
# ##### $$####
#  #  #      #
#  #   ### $ #
# ####   $.# #
# ###    #.# #
#      ### # #
##############",14,11,7
9,47,29,"##############
#      .## ###
# $ $ + ##  ##
#######    ..#
# ##### $$####
#  #  #      #
#  #   ### $ #
# ####   $.# #
# ###    #.# #
#      ### # #
##############",14,11,6
9,49,31,"##############
# @    .## ###
# $ $ . ##  ##
####### $ .. #
# ##### $$####
#  #  #     .#
#  #   ### $ #
# ####   $.# #
# ###    #.# #
#      ### # #
##############",14,11,7
9,57,32,"##############
#      .## ###
#@$ $ . ##  ##
####### $ .. #
# ##### $$####
#  #  #  .   #
#  #   ### $ #
# ####   $.# #
# ###    #.# #
#      ### # #
##############",14,11,7
10,0,8,"##############
#    # ####  #
# ## #@#  #  #
# ## #    ## #
# ##   # #   #
#  ###    $  #
#   ## #.#   #
##############",14,8,1
10,1,9,"##############
#    # ####  #
# ## # #  # .#
# ## #    ## #
# ##   # #   #
#  ### $@    #
#   ## # #   #
##############",14,8,1
10,2,10,"##############
#    # ####  #
# ## # #  # .#
# ## #    ## #
# ##   # # . #
#  ### $@  $ #
#   ## # #   #
##############",14,8,2
10,3,14,"##############
# @  # ####  #
# ## # #  # .#
# ## #    ## #
# ##   #$#.  #
#  ###  $    #
#   ## # #   #
##############",14,8,2
10,9,18,"##############
#    # ####  #
# ##@# #  # .#
# ## #    ## #
# ##   #$#   #
#  ###  $    #
#   ##.# #   #
##############",14,8,2
10,16,19,"##############
#    # #### .#
# ##@# #  #  #
# ## #    ## #
# ##   #$#   #
#  ###  $    #
#   ##.# #   #
##############",14,8,2
10,28,20,"##############
# @  # #### .#
# ## # #  #  #
# ## #    ## #
# ##   #$#   #
#  ### $     #
#   ##.# #   #
##############",14,8,2
11,0,12,"##############
#### ## #    #
# #  ## # $# #
#       #    #
## @ #       #
## # # ###  ##
#### # # # ###
###### #   ###
##  ## # # ###
#     . ##   #
##############",14,11,1
11,1,14,"##############
#### ## #    #
# #  ## #  # #
#   $   #    #
##   # $     #
## #.# ###  ##
#### #.# # ###
######@#   ###
##  ## # # ###
#       ##   #
##############",14,11,2
11,2,20,"##############
#### ## #    #
# #  ## #$$# #
#       #    #
## @ #       #
## # # ###  ##
#### # # # ###
######.#   ###
##  ## # # ###
#     . ##   #
##############",14,11,2
11,3,21,"##############
#### ## #    #
# #  ## #$$# #
#       #    #
## @ #   .$  #
## # # ###  ##
#### # # # ###
######.#   ###
##  ## # # ###
#     . ##   #
##############",14,11,3
11,4,24,"##############
#### ## #    #
# #  ## #$$# #
#       #    #
##   # $   . #
##@# # ###  ##
#### # # # ###
######.#   ###
##  ## # # ###
#     . ##   #
##############",14,11,3
11,6,28,"##############
#### ## #    #
# #  ## #$$# #
#   $@  #    #
##   # $   . #
## #.# ###  ##
#### # # # ###
######.#   ###
##  ## # # ###
#     . ##   #
##############",14,11,4
11,8,30,"##############
#### ## #    #
# #  ## #$$# #
#    @  #  $ #
##   # $   . #
## # # ###  ##
#### # # # ###
######.#   ###
##  ## # #.###
#     . ##   #
##############",14,11,4
11,10,32,"##############
#### ## #    #
# #  ## #$ # #
#   $@  # $  #
##   #.$     #
## #.# ###  ##
#### # # # ###
######.#   ###
##  ## # # ###
#     . ##   #
##############",14,11,4
11,12,39,"##############
#### ## #    #
# #  ## #$$# #
#       #  $ #
##   # $   . #
## #.# ###  ##
#### #$# # ###
######.#   ###
##  ## # #.###
#    @. ##   #
##############",14,11,5
11,14,40,"##############
#### ## #    #
# #  ## #$$# #
#       #  $ #
##   # $     #
## #.# ###  ##
#### #$# #.###
######.#   ###
##  ## # #.###
#    @. ##   #
##############",14,11,5
11,20,42,"##############
#### ## #    #
# #  ## #$$# #
#       # $  #
##   # $   . #
## #.# ###  ##
#### # # # ###
######.#   ###
##  ##$# #.###
#    @. ##   #
##############",14,11,5
11,23,45,"##############
#### ## #    #
# #  ##.#$$# #
#       # $  #
##  $# $   . #
## #.# ###  ##
#### # # # ###
######.#   ###
##  ##$# #.###
#    @. ##   #
##############",14,11,6
11,37,49,"##############
#### ## #    #
# #  ##.#$$# #
#       # $  #
##  $# $     #
## #.# ###  ##
#### # # # ###
######.#   ###
##  ##$# #.###
#     .@##.  #
##############",14,11,6
11,40,51,"##############
#### ## #    #
# #  ##.#$$# #
#       # $  #
##  $# $     #
## #.# ###  ##
#### #.# # ###
######.#   ###
##  ##$# # ###
#     .@##.  #
##############",14,11,6
12,0,6,"##############
#      ##  ###
##   # #    ##
####   #  ####
###    # ## ##
###  # $    .#
#   #### ## ##
#@   ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,1
12,1,7,"##############
#      ##  ###
##   # #    ##
####.$ #  ####
###    # ## ##
###  # $    .#
#   #### ## ##
#@   ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,2
12,3,8,"##############
#      ##  ###
## $ # #    ##
####.  #  ####
###    # ## ##
###  # $    .#
#   #### ## ##
#@   ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,2
12,5,9,"##############
#     .##  ###
##  @# #    ##
#### $ #  ####
###    # ## ##
###  # $    .#
#   #### ## ##
#    ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,2
12,6,10,"##############
#     .##  ###
## $@# #    ##
####   #  ####
###    # ## ##
###  # $    .#
#   #### ## ##
#    ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,2
12,10,11,"##############
# .    ##  ###
##  @# #    ##
#### $ #  ####
###    # ## ##
###  # $    .#
#   #### ## ##
#    ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,2
12,12,13,"##############
#     .##  ###
## $@# #    ##
####   #. ####
###    # ## ##
###  # $    .#
#   ####$## ##
#    ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,3
12,33,15,"##############
#     .##  ###
## $ # #    ##
####   #. ####
###    # ## ##
###. # $    .#
#@$ ####$## ##
#    ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,4
12,41,17,"##############
#   @ .##  ###
## $ # #    ##
#### $ #. ####
### .  # ## ##
###$ # $    .#
#   ####$## ##
#  . ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,5
12,65,18,"##############
#.     ##  ###
##@$ # #    ##
#### $ #. ####
### .  # ## ##
###$ # $    .#
#   ####$## ##
#  . ##      #
# ## ####  # #
# ##   ##    #
##############",14,11,5
13,0,12,"########
### ####
##   # #
## $   #
###  ###
##    ##
#      #
## #   #
#### ###
#    ###
# ## ###
## #@ ##
## .   #
########",8,14,1
13,1,13,"########
### ####
##   # #
## $   #
###  ###
##    ##
#      #
## #.$ #
#### ###
#    ###
# ## ###
## #@ ##
## .   #
########",8,14,2
13,2,19,"########
### ####
##   # #
## $   #
###  ###
##    ##
#      #
## #   #
#### ###
#   .###
# ##$###
## #@ ##
## .   #
########",8,14,2
13,3,20,"########
### ####
##   # #
## $   #
###  ###
## $  ##
#    $ #
## #   #
#### ###
#   .###
# ##.###
##@#. ##
##     #
########",8,14,3
13,4,24,"########
### ####
## . # #
## $   #
###  ###
## $$ ##
#    $ #
## #   #
#### ###
#   .###
# ##.###
##@#. ##
##     #
########",8,14,4
13,5,31,"########
### ####
##   # #
## $   #
###  ###
## $  ##
#    $ #
## #$. #
#### ###
#   .###
# ##.###
##@#. ##
##     #
########",8,14,4
