board_string,width,height,boxes,is_solvable,shell_hash,runtime_ms,pushes,moves,generated_states,expanded_nodes,total_children,effective_children,repeated_nodes,deadlocks,branching_real,branching_effective,branching_classic,redundancy,closed_list_length,path_branching_real_avg,path_branching_real_min,path_branching_real_max,path_branching_effective_avg,path_branching_effective_min,path_branching_effective_max,path_redundancy,path_deadlocks,path_box_lines,path_box_changes,solution_lurd,wall_density,open_space_ratio,connectivity,aspect_ratio,dead_end_ratio,avg_symmetry,num_interior_regions,initial_optimal_distance
"########
# ## .##
# ##$ ##
#.  $.##
## $  ##
###$@###
##.   ##
########",8,8,4,1,62301458891167685,2.83376,15,46,71,71,1136,121,55,76,16,1.70423,1.32867,20.6545,71,2.93478,2,4,1.71739,0,4,3.97059,22,10,7,"uruLLLdRDrdLuuurDuruulDrddlluRdlddrUUrUUddlluR",0.671875,0.396226,21,1,0.142857,0.78125,1,10
"########
####. ##
#  $.###
# $ $ ##
#  #   #
#.$### #
# .### #
### ## #
##  ## #
#     @#
########",8,11,4,1,5239557096586018261,0.503728,8,26,11,11,176,25,1,6,16,2.27273,1.3495,176,11,2.61538,1,4,1.88462,1,4,3.77778,1,6,4,"uuuuullUlLulDDrDuurrUdlluR",0.625,0.402439,33,0.727273,0.0909091,0.693182,1,7
"########
###    #
## $.  #
## $####
#.$ ####
###.$  #
###.@  #
########",8,8,4,1,3015869621327455679,4.39188,9,17,33,33,528,54,10,22,16,1.63636,1.47477,52.8,33,2.41176,2,4,1.29412,0,4,5.125,11,5,3,"luuLuuRDDDRdrruLL",0.65625,0.392857,22,1,0.0454545,0.78125,1,6
"###########
###      ##
##  ## $###
#   ##.  ##
# # # $# ##
# # #  $  #
#@# #  #$##
# # ## #.##
# # ## ####
# #   . . #
###########",11,11,4,1,6176500376835761537,14.7778,16,107,276,276,4416,483,319,351,16,1.75,1.42088,13.8433,276,2.49533,1,4,1.5514,1,4,2.84043,7,9,8,"uuurururrrddDDDDuuuurrddLruulluurDlddlddrdDuuluurDrruuLrddDuuuluullllddddddddrrRRlllluuuuuuuurrrdrdrddllDDD",0.603306,0.424779,48,1,0.104167,0.752066,1,15
"########
#..    #
####$  #
# @$   #
###  # #
##   # #
#### # #
#  #.$ #
# ## ###
#  # ###
# ##$  #
# ##.###
#    ###
########",8,14,4,1,8482994853889214002,2.27166,16,77,205,205,3280,404,153,146,16,1.97073,1.39471,21.4379,205,2.72727,1,4,1.79221,1,4,3.23077,7,12,9,"RRUrrdLulDlddrddddDuuuuuluururuLddlddrUUruulLrrddrddddLruuuuuulllLrrrddlUruLL",0.607143,0.411215,44,0.571429,0.136364,0.660714,1,11
"########
#     .#
# $$####
#  @ . #
####. ##
# $ $###
#    .##
########",8,8,4,1,3095640542595754762,1.37191,14,61,127,127,2032,229,49,120,16,1.80315,1.41342,41.4694,127,2.65574,1,4,1.72131,1,3,3.30612,8,9,5,"lluurrDullddrRRdDuullluRdrUdrddldRuuululuRRRllddrdddllluRRdrU",0.59375,0.42623,26,1,0.115385,0.78125,1,13
"##############
## . ##    # #
## $. ###  # #
## $#####  # #
#   # #      #
# #     # ####
#  $# #      #
# # ## ##### #
# # ##    ## #
# #  .       #
# # # #  # $ #
# #.   # #@# #
# # # ###    #
##############",14,14,4,1,13849060426659764784,3.84678,16,106,80,80,1280,327,53,76,16,4.0875,1.31505,24.1509,80,2.57547,2,4,1.19811,0,4,3,55,8,6,"uurrdLrddlluUruruuulllllulllluluuRlddrUddrrrrdrrrrrdddlLrruuulllllulllluuUdddDDDDDuuuuurrrrdrrrrrdddllLLLL",0.530612,0.479167,92,1,0.130435,0.673469,1,15
"###########
#   . .#  #
#### # #  #
## #$ .#  #
# $    $  #
# ####$ .##
#@####  ###
###########",11,8,4,1,15774763109994343568,2.83129,18,51,339,339,5424,788,121,218,16,2.32448,1.38219,44.8264,339,2.82353,1,4,1.96078,0,4,4.11429,9,10,8,"uuRRRUrrdRddlUUUUdddrrUllulldRurDrrruulDDlddlUUlulU",0.613636,0.419753,34,1.375,0.0882353,0.715909,1,13
"###########
# . # ### #
# .$$. #  #
#   # #   #
# # # .# ##
# # # $   #
# # #$ # ##
##   @ # ##
##  ##    #
##  ## # ##
###########",11,11,4,1,12644219981534032187,7.67271,22,84,711,711,11376,1261,400,511,16,1.77356,1.34782,28.44,711,2.64286,2,4,1.60714,0,4,3.52381,24,8,6,"lluuuuluurDDDDDDlddrUUUUUdddrrruUluuuLLrrdddrddllluuuUlUdrddddrrruuluuulLdddddrrUUUU",0.561983,0.456897,53,1,0.169811,0.735537,1,9
"########
##    ##
## $.###
## $$ ##
# .# $.#
# ## # #
#  #.  #
## @## #
### #  #
##   ###
########",8,11,4,1,16864575369333867133,0.55177,8,29,20,20,320,53,0,16,16,2.65,1.45422,0,20,2.58621,1,4,1.06897,0,3,3.57143,23,6,5,"luluuruuurrdDDRlDuuLruulldRlD",0.625,0.428571,33,0.727273,0.121212,0.784091,1,7
"###########
#    ##.  #
#### #  # #
#    ## @ #
###     $ #
##  ### # #
####    $ #
#    # ## #
#   ##### #
#### #   .#
#.     # ##
# # $# $ .#
#      # ##
###########",11,14,4,1,715559528561726458,3.89045,15,86,274,274,4384,646,150,32,16,2.35766,1.45384,29.2267,274,2.59302,1,4,1.75581,1,4,3.14085,1,11,9,"rddddddlllddRldllUdrruulLrrdrRllullLLrrrrurrruuuuuulldddRluuurrdLrdDlluUddrrDDuuuullUU",0.538961,0.467105,71,0.785714,0.112676,0.714286,1,14
"########
#    . #
#.#  ###
# $  ###
#   ##.#
###$ # #
### ## #
# @    #
# # ##.#
###### #
#   $  #
# $ #  #
#   ####
########",8,14,4,1,10431900141596653858,11.5923,28,110,1333,1333,21328,1953,349,1229,16,1.46512,1.29301,61.1117,1333,2.55455,1,4,1.10909,0,4,3.34524,75,12,6,"rrrrdddlLLrrruuullluUUdddrrrdddlllddlluRluRRRRdrUUUUUUddllluuuUUddlluuurRRddlLdlUdrrdddrrrdddllllddrUluRRRdrUU",0.589286,0.422018,46,0.571429,0.108696,0.714286,1,23
"##############
##.#    ### ##
#     #  #   #
##.# ###### ##
# $ #### #.$ #
#  $ $.    $@#
#  .   # #   #
##############",14,8,5,1,14501767636427687518,19.8458,16,73,2290,2290,45800,4806,1634,2160,20,2.09869,1.62177,28.0294,2290,2.93151,2,4,2.0411,1,4,3.62712,6,10,9,"dllulllldlllluUddrruLdrrruLdlluulUUddrddrruLdllUUrDrrrrrrrdrruLLrruLdlLLL",0.571429,0.440367,48,1.75,0.1875,0.803571,1,15
"###########
##        #
## # ## #.#
#### ## $ #
##    #   #
## $# # @ #
## .#######
# $ # # ###
# #  $. ###
#   # #   #
# #.##.   #
# # # $ ###
# #     ###
###########",11,14,5,1,4532554944888959328,3.7539,10,119,150,150,3000,596,191,275,20,3.97333,1.65048,15.7068,150,2.53782,2,4,1.57983,1,4,2.67257,1,8,7,"uluuullldddllddrdddlluuRlddrrurRlldlluuruuurruuurrrddRluullldddllddrDllddrrdddrrrUdllluuulluurrDDuuuluurDuruuurrrdddrrU",0.571429,0.464789,66,0.785714,0.0909091,0.688312,1,9
"##############
#    ####   ##
####.###.$  ##
#  .$ .    $##
## # ##### $ #
#    ### #$# #
## #    @#   #
#   ######  ##
####   #   ###
#          .##
##############",14,11,5,1,765268262477814956,18.567,26,108,1366,1366,27320,3607,1727,1751,20,2.64056,1.32006,15.8193,1366,2.62963,2,4,1.40741,0,4,3.38095,48,15,10,"lllluuUrrrrrruLdrdDDrruuLrddlluUUdddDuuuuluurrdLrDldddrruuLrddldlDuuuUruLLLLLLLrrrrrrdddddldRuuuuuuuulDrdLLL",0.571429,0.455172,66,1.27273,0.121212,0.772727,1,23
"##############
##.###     ###
# $ #  ### ###
## ##@  $    #
#  .$$ .## .##
#     .#   $##
#########   ##
##############",14,8,5,1,6815374549920955023,0.829248,10,86,29,29,580,182,16,13,20,6.27586,1.40036,36.25,29,2.67442,2,4,1.72093,1,4,2.875,2,9,8,"DuururrrrddlLrruulllldddlLruururrrrddllLdllldlluuUdddrrurrrurrrdddrUluuuulllldDldldRuR",0.616071,0.452632,43,1.75,0.116279,0.696429,1,9
"########
##  .  #
###$$# #
## . @ #
# #### #
#  ### #
#.  $ .#
# ##$$##
# ##  ##
#   .###
########",8,11,5,1,16436683345552275531,0.882369,10,50,46,46,920,146,12,72,20,3.17391,1.46648,76.6667,46,2.38,1,3,0.98,0,3,2.975,30,7,5,"ruulllDurrrdddddlLLrDDuurruuullUdrrdddllddrUluRllL",0.613636,0.419753,34,0.727273,0.0882353,0.693182,1,9
"########
##  . @#
## # ###
#### ###
# $ $..#
#    #.#
#### $ #
#  $   #
# $ ## #
# . ## #
## #   #
#    ###
## # ###
########",8,14,5,1,5864762488517852753,20.0933,18,105,1275,1275,25500,4675,1454,2257,20,3.66667,1.48774,17.5378,1275,2.64762,1,4,1.20952,0,4,3.1236,62,12,9,"llddDrrdddlluUddrrdddlldlluuluurRRRluuluRdllluRRdrddlddlddrrurruuUlluuUUddddllDurruuuuUdddddrrUUddlluRdrU",0.589286,0.442308,46,0.571429,0.108696,0.714286,1,15
"##############
##########.  #
#  #@# .$  ###
# ##$   $$.###
#   .  ## ## #
# $ ##### ## #
#           .#
##############",14,8,5,1,18231130397606011716,35.3018,25,127,2946,2946,58920,6844,3551,3631,20,2.32315,1.37648,16.5925,2946,2.48819,1,4,1.17323,0,3,2.87273,57,13,11,"DrdLLrurrurRRlldldlllddrrrrrruuUrULddddlllllluururrrRRdddlllllllluuRDrdrrrrrruuuuLdrdddllllllulldRRRRRRRRRllllllluluRddrrrrrrrR",0.607143,0.427184,44,1.75,0.0909091,0.660714,1,18
"########
##.### #
#   #  #
##$# $.#
#  .$@.#
# #$$###
#    ###
## #.  #
#### ###
#    ###
########",8,11,5,1,7777610762040002814,1.32276,11,33,101,101,2020,333,48,100,20,3.29703,1.52129,42.0833,101,2.69697,2,4,1.87879,1,4,3.86957,4,8,7,"LDDllluurRlUdrRRllluUddlddrrUruuR",0.625,0.402439,33,0.727273,0.212121,0.715909,1,8
"##############
#     ####   #
# .@$ #  $.# #
####  #$.    #
###   .  $####
##    $ #   ##
#######.     #
##############",14,8,5,1,4618182413745986061,23.9902,14,88,1667,1667,33340,6514,1923,1902,20,3.90762,1.69878,17.3375,1667,2.88636,2,4,1.90909,1,4,3.2987,9,12,10,"urrdddrrddrruUlllldRurruuRlddrUdlllluuLddrrrDuruulDrrrrruullDurrddlLLdlLuurRddlldlluuulL",0.571429,0.475248,48,1.75,0.0416667,0.696429,1,9
"########
###.####
### $  #
#.@  $.#
# $$####
# #  $ #
#.   . #
########",8,8,5,1,3892528624569627378,10.4412,17,92,1347,1347,26940,2707,1235,1126,20,2.00965,1.52785,21.8138,1347,2.55435,1,4,1.03261,0,4,3.05195,63,14,11,"rrRuLdllldddrrrrruLdlllluuurrUdlldddrruUddrruLdllluuurRdDuulldddrRRuluLulDurrurrdLLdllDurruL",0.609375,0.438596,25,1,0.04,0.75,1,14
"##############
#  .###      #
# #   # ## # #
# $ $   ## $ #
####$@# ## # #
#  $..# # .# #
#   . # ## # #
##############",14,8,5,1,357319865381155877,8.91807,17,103,914,914,18280,2032,748,1326,20,2.22319,1.49339,24.4385,914,2.57282,1,4,0.961165,0,4,2.91209,75,14,11,"urruurrrrrddLruulldDDuuulllddllddlLrruuulldRulullddRluurrdrdDuurDullullddrRurrdDlUruLddDuulUdrddldlluRR",0.571429,0.432432,48,1.75,0.0833333,0.714286,1,14
"##############
####.       .#
# #  #.$ ##  #
# $ ###$#### #
#  $###    $ #
# # #  ###   #
#   @  .  .  #
##############",14,8,5,1,16646665260002452078,51.6927,30,174,4724,4724,94480,9381,6436,4481,20,1.98582,1.3258,14.6799,4724,2.45402,1,4,1.28736,0,3,2.86577,54,14,9,"rrrrrrurruuuulllllllldldDuururrrrdLurrrrdrdddlluRllllUdrrrddllllllllluurrDullddrRRRRRRllllluulluRdrddrrrrrRRurrdLurUUUlullllllldlDDDullddrRRRRllluuuururrrrrrrdrddllllluUruLLL",0.553571,0.458716,50,1.75,0.02,0.75,1,27
"##############
#####.#   ## #
## #  $.$.## #
#  ## # $ . .#
# .  $  ## # #
####$ #$ # # #
#@   ##    # #
##############",14,8,6,1,5554931360645107854,16.0413,20,159,1563,1563,37512,3418,1690,2798,24,2.18682,1.44443,22.1964,1563,2.66038,1,4,1.49057,0,3,2.9375,42,18,17,"rrrUrUUdrruRldlluUddrruuRdRlldlluuRlddrrurrRllldlluurRdrrrdddlllUdrrruuulllullddLruurrdrrrdddllulUlllLrruurrurrDulldllddrrddrrruuuRldddllululluurrRdRlulllddrrU",0.589286,0.429907,46,1.75,0.130435,0.696429,1,19
"###########
#######   #
#  .# $.# #
# . $  $  #
##$# .. ###
#    #$$ ##
## # @   .#
###########",11,8,6,1,761499049149491740,113.196,16,70,7353,7353,176472,25912,11879,11758,24,3.524,1.74443,14.8558,7353,2.72857,2,4,1.81429,1,4,3.2931,6,12,7,"lullUUluRdddrruruLLrdrrrUrruullDurrddlLdlluuRDrdDuulldlddrrRRuluLrddlU",0.568182,0.469136,38,1.375,0.0789474,0.75,1,13
