board_string,width,height,boxes,is_solvable,dataset_type,shell_hash,runtime_ms,pushes,moves,generated_states,expanded_nodes,total_children,effective_children,repeated_nodes,deadlocks,branching_real,branching_effective,branching_classic,redundancy,closed_list_length,path_branching_real_avg,path_branching_real_min,path_branching_real_max,path_branching_effective_avg,path_branching_effective_min,path_branching_effective_max,path_redundancy,path_deadlocks,path_box_lines,path_box_changes
"###########
## #   ####
#    ###  #
## # #### #
#        .#
### #  .# #
### ##    #
#      # ##
# #$ @ $  #
#   #### ##
###########",11,11,2,1,"positive",10429347713189203792,2.50224,22,127,157,157,1256,338,197,103,8,2.15287,1.25839,6.37563,157,2.70079,2,4,1.58268,0,4,3.09009,31,15,10
"###########
### ##    #
##  #  ####
##   .    #
#####  ## #
# # ##$## #
#   # .@  #
#  $     ##
# #  #  ###
#        ##
#   # #  ##
#        ##
##### #  ##
###########",11,14,2,1,"positive",2942838774820772200,1.06337,8,54,29,29,232,94,34,16,8,3.24138,1.52335,6.82353,29,3.03704,2,4,2.12963,1,4,3.34694,0,5,2
"########
#  ### #
# $### #
#  #.$ #
#      #
# #   ##
#.$  ###
# ######
#. #   #
#      #
#   #  #
# ###  #
#@#### #
########",8,14,3,1,"positive",5029167588150285362,1.14697,10,61,65,65,780,136,48,42,12,2.09231,1.51807,16.25,65,2.65574,1,4,1.78689,1,3,3.0566,0,7,4
"##############
####    ##   #
##  ### ##   #
#   $ @    $ #
#         ####
#### #   ## .#
#       ##   #
#    ####    #
###  ###   # #
###$   .     #
###    ##  ###
##. .###  $###
#### ##      #
##############",14,14,4,1,"positive",9741514856689559824,905.819,40,306,25247,25247,403952,75050,37863,14988,16,2.97263,1.28841,10.6688,25247,3.06863,2,4,2.09477,1,4,3.28322,12,29,22
"###########
#@##### ###
# ## #  ###
#     $  .#
# $####$  #
#  ## # # #
# .##  .  #
###########",11,8,3,1,"positive",9392886226965111195,0.544576,8,16,15,15,180,39,5,0,12,2.6,1.40285,36,15,2.6875,1,4,2,0,4,5.375,3,3,2
"########
####   #
#@$   .#
#  $.  #
###  # #
#  # # #
# ##$# #
# .    #
# ## # #
# ######
########",8,11,3,1,"positive",298388742605049900,1.3972,9,36,30,30,360,134,15,29,12,4.46667,1.45923,24,30,2.69444,2,4,1.86111,1,4,3.46429,2,4,2
"##############
#    #  .  ###
# #@### #$$###
#    #   $  .#
# . $  .# .  #
# ##  $### ###
# ##    #  ###
##############",14,8,5,1,"positive",10511275160376857370,2.28417,14,57,162,162,3240,418,106,250,20,2.58025,1.43821,30.566,162,2.84211,2,4,1.12281,0,4,3.52174,52,10,6
"##############
#      @######
#### #  ##   #
#        $ $ #
#        .   #
# ##$#.  # # #
# ##   .##   #
##############",14,8,3,1,"positive",2762490674146407739,3.99373,13,84,196,196,2352,817,301,222,12,4.16837,1.50082,7.81395,196,3.35714,2,4,2.38095,1,4,3.525,2,11,9
"##############
### #   ## # #
### # $@## # #
#   # $ .  # #
#.    .###   #
# ##$# # #   #
# ##   #     #
#   #  ##  ###
### #  # # ###
### #    #   #
##############",14,11,3,1,"positive",14259727086360573907,1.58849,9,35,44,44,528,157,17,38,12,3.56818,1.52267,31.0588,44,2.68571,1,4,1.94286,1,4,3.61538,0,6,3
"##############
##  ##    .  #
##$.#   ##$# #
##. #  @##   #
#       .$$  #
# #  #  #    #
####      ####
##############",14,8,4,1,"positive",1461841224268158757,23.9879,15,111,1237,1237,19792,4825,2814,1614,16,3.90057,1.60753,7.0334,1237,2.72973,1,4,1.62162,0,4,3,22,11,10
"##############
#           ##
# #  # $# # ##
#        .####
### #$#      #
###     ###  #
#   #$# #### #
## @ .     # #
##  ##$ #  # #
##  ## . . # #
##############",14,11,4,1,"positive",9636127951469177061,164.99,18,109,5520,5520,88320,22827,10748,4008,16,4.13533,1.61393,8.21734,5520,2.83486,1,4,1.66972,0,4,3.28723,33,13,9
"########
####  ##
# # . ##
#  .$$##
# @$   #
# ## $ #
#.##.  #
########",8,8,4,1,"positive",14644132086463923383,0.966149,12,45,55,55,880,200,22,98,16,3.63636,1.39647,40,55,2.91111,1,4,1.73333,0,4,3.74286,18,10,7
"###########
# #      .#
# #  ##$# #
# # $##   #
# ##   ## #
# ## $ ## #
#.$       #
#@##.##$  #
# ##  # # #
#      . .#
###########",11,11,5,1,"positive",8194407113761541981,301.949,19,183,9937,9937,198740,45553,20719,6887,20,4.58418,1.62324,9.59216,9937,2.59016,1,4,1.63934,1,4,2.80473,5,12,9
"##############
## #.  ###  .#
#  $.# #  $# #
## #$        #
#  . $ ##  . #
#     @##$ # #
#######      #
##############",14,8,5,1,"positive",12328809868722047407,27.7683,16,141,1154,1154,23080,5965,2461,1545,20,5.16898,1.55377,9.3783,1154,2.97163,1,4,1.95035,1,4,3.01439,5,13,11
"########
########
#      #
#   .. #
####$$.#
## $.# #
# . @  #
# $    #
### $###
###  ###
########",8,11,5,1,"positive",10145680173871307492,15.5374,13,67,779,779,15580,3076,851,1328,20,3.94865,1.66888,18.3079,779,3.04478,2,4,1.20896,0,4,3.51724,65,10,9
"##############
#   ## # #@  #
#  $#      # #
#      # #   #
#.##  $  # # #
# #.$. . # # #
# ##### ## # #
#   ###   ####
# $$   ## #  #
#   .  ##    #
##############",14,11,5,1,"positive",1535375616455922261,37.7539,16,105,1485,1485,29700,5753,1696,2080,20,3.87407,1.57846,17.5118,1485,2.87619,2,4,1.90476,1,4,3.28261,10,12,9
"##############
####  ###    #
#     ### ####
#   $ #.     #
#  #      #.##
#  #  # # $  #
# ## ##   # ##
#  #   ## $@ #
#  ##  #  $# #
#  ###$      #
##  #       .#
##  #   ## . #
##  ##. ######
##############",14,14,5,1,"positive",11882966656858390948,34.2025,22,161,562,562,11240,4634,785,939,20,8.24555,1.33348,14.3185,562,2.98758,2,4,1,0,4,3.12338,166,19,13
"##############
## # ####  ###
#    ####. ###
## #         #
#   $  $   ###
###  ## #  ###
###  ##$$    #
####.     ####
# #  # @# $ .#
#       .  . #
##############",14,11,5,1,"positive",3997441423032207812,257.781,20,136,6096,6096,121920,37800,16204,2908,20,6.20079,1.54615,7.52407,6096,3.13235,2,4,1.73529,0,4,3.4918,68,16,12
"###########
## .    ..#
##  ## $# #
###$##$ $ #
#@$  ..$  #
#   ##. # #
#   ##    #
###########",11,8,6,1,"positive",17962574546200631402,529.385,20,106,36457,36457,874968,99488,45677,26103,24,2.72891,1.69079,19.1555,36457,2.84906,1,4,1.46226,0,4,3.35556,57,15,13
"###########
#   #  ####
# #$#  $ ##
#   #$  . #
# ..   ####
# #$#    ##
#   ##. ###
## # ######
#    ### ##
## #  .  ##
### $ $## #
### @# ## #
#       . #
###########",11,14,6,1,"positive",12271753399476646417,583.048,26,151,31407,31407,753768,85714,36490,43203,24,2.72914,1.48923,20.6568,31407,2.74172,1,4,1.37748,0,4,3.18462,76,20,14
"##############
#    # # #####
#### # .    ##
#    # # #.###
### ## # #   #
##  #   $$$$ #
#    ### #.  #
#. .     $ # #
###.$ # ## #@#
### ### ## # #
##############",14,11,6,1,"positive",2824328382728925951,1181.52,28,182,64008,64008,1536192,171979,88822,80375,24,2.68684,1.48474,17.2952,64008,2.71429,1,4,0.582418,0,4,3.1465,231,17,12
"##############
#     ###    #
# ##$ ## $.. #
# ##  #   ####
# .  # ##   ##
###$ # ## # ##
### $# $ @####
#        .$.##
# ####  #  ###
# ####    . ##
##############",14,11,6,1,"positive",17074042639989210098,469.381,32,158,23272,23272,558528,64239,26534,22030,24,2.76036,1.36919,21.0495,23272,2.96203,2,4,2.07595,1,4,3.5188,7,22,15
"###########
#....  ## #
# #$$# ## #
#. $    $ #
###$      #
### $# ##@#
# .    ## #
###########",11,8,6,1,"positive",10136512526773456457,247.653,21,127,11052,11052,265248,41633,22877,10866,24,3.76701,1.55792,11.5945,11052,2.89764,1,4,1.79528,0,4,3.2,25,19,16
"###########
#  .      #
#######$# #
#.  $ @ $ #
# .  $ ##.#
# ## # ## #
# ##      #
######### #
## . . ## #
#    $    #
# ##  # ###
# ##$##  ##
#     #####
###########",11,14,6,1,"positive",16533569527906199215,119.354,21,255,4604,4604,110496,22403,8632,6327,24,4.86599,1.49429,12.8007,4604,2.49412,1,4,1.52941,1,4,2.65,6,17,15
"########
#   ####
#  $$  #
# .$   #
## # ###
#. $. ##
## # $.#
#  $ @ #
#### # #
# ..   #
########",8,11,6,1,"positive",6700940603832262566,712.929,26,130,39996,39996,959904,112031,67912,54136,24,2.80106,1.50314,14.1345,39996,2.86923,1,4,1.37692,0,4,3.58654,90,21,19
"########
##.   ##
## .# ##
##$.####
# $@.###
# #$  ##
# $. $ #
# $    #
# # $# #
# ..   #
########",8,11,7,1,"positive",9437101598744700445,669.025,18,142,27538,27538,771064,125057,63680,48962,28,4.54125,1.76467,12.1084,27538,2.88732,1,4,1.19718,0,4,3.15385,110,16,14
"##############
#   ####.##  #
# #  . $  #$@#
#.$    #$##  #
#     #.$.$$ #
# ### ##.    #
# ########.  #
##############",14,8,7,1,"positive",11968086136483641619,5.11173,17,66,377,377,10556,1166,482,410,28,3.09284,1.41759,21.9004,377,2.89394,2,4,1.01515,0,4,3.67308,72,12,10
"##############
# ..  #   ####
# #  ####    #
#.$$  ###    #
###@$##.  $###
###  ##### ###
# .          #
###$$##   ## #
##  .##$# ## #
#      .     #
##############",14,11,7,1,"positive",15977083319309801155,2578.14,22,138,80552,80552,2255456,370876,174507,73964,28,4.60418,1.6711,12.9247,80552,2.87681,1,4,1.81884,0,4,3.2541,24,17,12
"###########
###      .#
##  $#@.#.#
#  $ .$$$ #
# $ ##  $ #
# ####   ##
#.## .. ###
###########",11,8,7,1,"positive",5464357577053012557,1001.13,23,139,53080,53080,1486240,215116,97285,88854,28,4.05268,1.60484,15.2772,53080,2.80576,1,4,1.45324,0,4,3.09524,62,18,16
"###########
#### @. ###
#   $# $###
#   .$$   #
# # .   ###
#### ##  ##
#.#  ##  ##
#   ###   #
# $. $..$ #
#         #
###########",11,11,7,1,"positive",17891823217311520996,1947.15,19,88,52971,52971,1483188,329077,133651,155768,28,6.2124,1.77269,11.0975,52971,2.85227,2,4,1.77273,0,4,3.39189,21,15,13
"##############
###  ##    ###
###  ## #$$###
#  $  $ .   .#
###. $. $.  ##
### ###$## .##
#@      ##. ##
##############",14,8,7,1,"positive",13214006012457412799,939.231,20,109,47055,47055,1317540,191647,82652,57085,28,4.07283,1.7125,15.9408,47055,2.80734,1,4,1.88073,1,4,3.36264,10,15,12
"########
##   ###
### @###
##     #
#. $ $.#
#.# $# #
#  $   #
#   $###
# # ..##
#  $   #
# $    #
# # .# #
#   .  #
########",8,14,7,1,"positive",181275510387708275,1897.08,19,116,42852,42852,1199856,361110,125872,25776,28,8.42691,1.75302,9.53235,42852,3.10345,2,4,2.12069,1,4,3.49515,11,16,14
